city,geo_location,working_age_population,employed_population,unemployed_population,employment_rate,avg_annual_income,median_annual_income
Mecca,"21.353955087994514, 39.81958252760424",1051,671,380,63.9,50634.57,79263.46
Mecca,"21.3549915236923, 39.82316874074368",3349,2208,1141,65.9,111374.43,88427.2
Mecca,"21.352392853999326, 39.825653176697436",1717,1548,169,90.2,113236.19,73931.03
Mecca,"21.353578805869986, 39.82905096643409",3115,2681,434,86.1,42865.44,74936.07
Mecca,"21.35367167729423, 39.83492462486774",3008,2198,810,73.1,79980.82,61780.93
Mecca,"21.352930935353896, 39.83554394970329",3278,2476,802,75.6,38128.86,72301.45
Mecca,"21.355323483759317, 39.8400381051747",2821,2632,189,93.3,55124.15,78259.55
Mecca,"21.35169697098203, 39.84152179883503",3105,2122,983,68.4,99895.26,34843.26
Mecca,"21.35177192985474, 39.84717645083347",1034,868,166,84.0,96294.25,92473.6
Mecca,"21.354501650790787, 39.849688639867196",3215,2023,1192,62.9,67166.04,83835.47
Mecca,"21.351587444157943, 39.85285981047936",1574,1080,494,68.7,90289.1,64168.83
Mecca,"21.355317818854296, 39.856783124047055",1667,1580,87,94.8,66942.4,75050.82
Mecca,"21.35521764684379, 39.861443118808936",914,714,200,78.2,95637.96,48039.0
Mecca,"21.351379257421108, 39.86421622061077",2028,1247,781,61.5,64782.77,80216.28
Mecca,"21.35406017480944, 39.866814547988305",3378,2376,1002,70.4,119385.13,54846.03
Mecca,"21.352400634093147, 39.87056384719432",1411,1330,81,94.3,63394.16,44184.23
Mecca,"21.351779542027717, 39.87307239433601",2309,1762,547,76.3,91435.48,89674.43
Mecca,"21.353148228158652, 39.87848193037675",2365,2135,230,90.3,35570.05,48267.18
Mecca,"21.354836745094847, 39.879053556203",1536,1388,148,90.4,74862.78,91651.54
Mecca,"21.353335677785537, 39.88204794085545",2112,1581,531,74.9,90467.0,80486.67
Mecca,"21.354983844690715, 39.88814874094601",2643,1688,955,63.9,91239.23,41208.06
Mecca,"21.35252711249913, 39.89055579797947",906,784,122,86.6,118146.42,88113.63
Mecca,"21.35376921417909, 39.89194469040753",3493,2564,929,73.4,97867.43,97161.98
Mecca,"21.354383376533637, 39.89682418278715",1296,1032,264,79.6,78565.28,90557.88
Mecca,"21.354447839247857, 39.900121414688776",3829,2454,1375,64.1,119138.04,92030.58
Mecca,"21.35466895425118, 39.79929662422801",1702,1280,422,75.3,35274.36,75454.71
Mecca,"21.35474457363621, 39.805049727798384",3214,2241,973,69.7,83600.56,87020.72
Mecca,"21.35818155417796, 39.80799332878411",1075,890,185,82.9,39161.48,91065.01
Mecca,"21.35589672316828, 39.80823170066597",1356,1050,306,77.5,69528.39,41766.19
Mecca,"21.358178705063484, 39.81512113111452",898,647,251,72.1,106740.75,76782.9
Mecca,"21.355009280474942, 39.81661062851993",3627,2841,786,78.3,74519.83,64366.32
Mecca,"21.354943516740544, 39.82104240866103",2830,2475,355,87.5,42193.28,76971.72
Mecca,"21.357730004383896, 39.82184689919133",2701,1747,954,64.7,67784.26,39060.95
Mecca,"21.356567796179064, 39.82686588104064",1211,771,440,63.7,63547.38,75323.57
Mecca,"21.35572689318243, 39.83148973216434",3965,3399,566,85.7,112244.64,51413.61
Mecca,"21.35635921842747, 39.8321805261551",915,857,58,93.7,73215.84,74501.79
Mecca,"21.356823851021787, 39.837586390943024",3235,2350,885,72.7,94105.94,69405.15
Mecca,"21.355471270920226, 39.8392468651652",1259,1191,68,94.7,104482.01,40450.75
Mecca,"21.358647264093314, 39.84393284556389",2250,2031,219,90.3,111634.19,38408.85
Mecca,"21.356419067002328, 39.846736970030804",1638,1194,444,72.9,55413.44,94921.92
Mecca,"21.35515068345014, 39.84889878934812",3130,2900,230,92.7,91346.13,85795.64
Mecca,"21.356019008915258, 39.85368656820716",3792,2979,813,78.6,91968.62,42229.56
Mecca,"21.355587125597054, 39.85554753620447",983,606,377,61.7,65338.58,59709.1
Mecca,"21.354950639010706, 39.86052441182908",3859,2674,1185,69.3,103890.26,66745.89
Mecca,"21.355582433801914, 39.864955013385355",3417,2615,802,76.6,65864.02,38445.34
Mecca,"21.358105208267684, 39.864950096066224",1335,1142,193,85.6,76655.47,64764.63
Mecca,"21.355618685204146, 39.87067591111318",2887,2186,701,75.7,118332.09,64938.83
Mecca,"21.35552361389615, 39.871862580728234",3287,2246,1041,68.4,108381.89,72995.31
Mecca,"21.35840872362899, 39.876950839039964",3351,2792,559,83.3,115335.48,75822.37
Mecca,"21.356557350771915, 39.88113847769716",2057,1389,668,67.6,54991.71,57064.0
Mecca,"21.357896654657736, 39.88209497299078",3170,2556,614,80.7,98896.7,42421.06
Mecca,"21.355054389923584, 39.88639087139629",1392,1211,181,87.1,106600.04,72814.38
Mecca,"21.356360981158748, 39.889868098672146",1052,887,165,84.4,110825.0,59805.0
Mecca,"21.35758297006451, 39.894026791522506",3167,2036,1131,64.3,67429.51,64363.17
Mecca,"21.35860332751213, 39.895060338151275",3164,1997,1167,63.1,70719.44,70968.77
Mecca,"21.356277151795076, 39.89935721042158",1574,1060,514,67.4,55312.92,32630.02
Mecca,"21.36144669014541, 39.79899462533568",3368,2110,1258,62.7,99995.71,63487.31
Mecca,"21.358760835633763, 39.80312778752466",1687,1035,652,61.4,89518.5,67125.86
Mecca,"21.359687526559338, 39.80578084724533",2911,2559,352,87.9,96514.33,63420.89
Mecca,"21.35899922579153, 39.8116930623971",1750,1194,556,68.2,106663.73,42455.52
Mecca,"21.35977252298021, 39.81477872975238",3624,2392,1232,66.0,46538.87,77287.58
Mecca,"21.3602013012498, 39.81486901998476",3976,3149,827,79.2,76731.57,63603.81
Mecca,"21.36199712987365, 39.82134411034032",1307,836,471,64.0,82475.09,58226.17
Mecca,"21.361875985029137, 39.825038801265364",3521,2838,683,80.6,59682.54,55787.29
Mecca,"21.361394782937655, 39.825331911109075",2651,1804,847,68.1,117752.13,86045.05
Mecca,"21.359942564501804, 39.82885498919679",1362,1093,269,80.3,42029.85,75135.24
Mecca,"21.359604161170196, 39.83156787493322",2891,2171,720,75.1,111981.56,30565.24
Mecca,"21.35951589247591, 39.83860790204179",1800,1437,363,79.9,58536.75,80485.48
Mecca,"21.359060812232688, 39.84113628240779",2599,1899,700,73.1,99433.01,75386.08
Mecca,"21.359820033469354, 39.84302536327729",2095,1495,600,71.4,76000.22,76211.67
Mecca,"21.361829270563437, 39.848648357424636",3768,2897,871,76.9,106827.69,35521.43
Mecca,"21.36022307329362, 39.85087363310118",2031,1363,668,67.1,112743.41,76852.21
Mecca,"21.358619187301095, 39.85252016463531",1667,1176,491,70.6,62137.51,54481.95
Mecca,"21.361874837459876, 39.85698338782993",2859,2640,219,92.4,41501.77,78295.39
Mecca,"21.3601687808055, 39.860991902241516",2827,2044,783,72.3,107849.14,39850.58
Mecca,"21.35822866109163, 39.86367004371117",2681,1756,925,65.5,87606.58,66089.85
Mecca,"21.36001140153168, 39.86807754623486",3802,3328,474,87.6,67345.48,79128.06
Mecca,"21.35862973091176, 39.871843115613096",2328,1764,564,75.8,64948.78,59239.38
Mecca,"21.35832044586096, 39.87207663317726",3305,2279,1026,69.0,51954.72,37029.4
Mecca,"21.3603801404258, 39.87736751688108",2994,2192,802,73.2,105276.61,62242.83
Mecca,"21.358940815580002, 39.878479546455786",819,722,97,88.2,80654.11,52715.92
Mecca,"21.361561149256517, 39.88231819472449",2437,1950,487,80.0,58143.47,84180.75
Mecca,"21.360378076614133, 39.88714419270799",3172,2617,555,82.5,58169.82,86130.58
Mecca,"21.35967689966134, 39.890334689157164",1047,916,131,87.5,40734.01,50988.94
Mecca,"21.360091130862127, 39.89507215836428",2793,2437,356,87.3,85405.39,48230.98
Mecca,"21.358817036797692, 39.89753143386982",1590,1148,442,72.2,106526.95,40517.76
Mecca,"21.358954743810465, 39.89958314338716",805,513,292,63.7,79588.58,34970.25
Mecca,"21.36402009422517, 39.799199988319195",3035,2752,283,90.7,87270.98,72790.69
Mecca,"21.36259804211842, 39.804340791302984",3349,2761,588,82.5,53200.87,40893.65
Mecca,"21.361623505791307, 39.80649980875714",3370,2713,657,80.5,66425.43,97979.14
Mecca,"21.36532715109675, 39.81198438579142",2114,1423,691,67.4,61068.33,65195.8
Mecca,"21.361626376217732, 39.8121859505824",3397,2130,1267,62.7,42577.96,80164.77
Mecca,"21.362394134992336, 39.81839970417864",953,857,96,89.9,60463.29,55860.19
Mecca,"21.364856790028078, 39.82151708096994",1017,839,178,82.5,109005.21,88598.13
Mecca,"21.36281144168829, 39.82196432066276",1972,1764,208,89.5,109697.11,41296.01
Mecca,"21.364668313151892, 39.82748082636701",1567,1105,462,70.6,114968.64,93601.4
Mecca,"21.363780044396236, 39.83194893225453",1962,1463,499,74.6,48826.64,93842.28
Mecca,"21.363949238604174, 39.831364625761935",1305,1162,143,89.1,64043.02,47546.23
Mecca,"21.364601749873795, 39.83586418167547",2394,1958,436,81.8,94140.16,40086.02
Mecca,"21.363986888193196, 39.841755720015705",1823,1457,366,79.9,35337.11,88557.35
Mecca,"21.361870497790907, 39.84179504801501",1141,984,157,86.3,55920.21,50657.27
Mecca,"21.361761477244173, 39.8468795612302",1931,1418,513,73.5,112610.92,94282.85
Mecca,"21.362422726182594, 39.850419319308116",3356,3101,255,92.4,105822.02,48143.16
Mecca,"21.364203782081887, 39.85214772258264",3606,2226,1380,61.7,91269.25,59198.44
Mecca,"21.363870285168872, 39.85572260227318",1823,1684,139,92.4,79666.61,98969.78
Mecca,"21.36328746074193, 39.861621345964316",1010,762,248,75.5,119593.08,55022.93
Mecca,"21.364717748186514, 39.86170252720418",2402,1600,802,66.6,46344.24,48183.1
Mecca,"21.36302763642359, 39.865773387562555",3923,3367,556,85.8,97918.08,30031.85
Mecca,"21.361347516089683, 39.87108447689208",1498,985,513,65.8,88814.18,64132.32
Mecca,"21.36388178684254, 39.87238115438307",2435,1518,917,62.4,78740.6,93381.22
Mecca,"21.364298256966723, 39.87687338835117",2182,1642,540,75.3,91478.89,36012.58
Mecca,"21.363044081009257, 39.878038678798426",3797,3546,251,93.4,63540.97,38529.25
Mecca,"21.361634308773628, 39.884865758906535",1694,1416,278,83.6,71953.8,55175.95
Mecca,"21.36494904761957, 39.88684902782349",850,551,299,64.9,63946.25,95826.15
Mecca,"21.36467171341288, 39.89033003826596",1075,768,307,71.5,71643.03,83131.25
Mecca,"21.361925708475603, 39.89184311541046",2108,1672,436,79.3,72335.81,72883.7
Mecca,"21.362566366733052, 39.89826259262164",3531,2579,952,73.1,75242.74,41930.48
Mecca,"21.364517822552884, 39.901442810328",1043,882,161,84.6,50102.72,86209.57
Mecca,"21.36826236521277, 39.79884030615336",3227,2137,1090,66.2,42279.77,70942.74
Mecca,"21.365664785623558, 39.80174450782001",1275,1051,224,82.5,43724.74,49819.82
Mecca,"21.367787131634152, 39.808203205472466",3136,2521,615,80.4,86646.36,65264.4
Mecca,"21.366292176225997, 39.8104826460406",1988,1269,719,63.9,35581.39,35886.35
Mecca,"21.365284880019995, 39.815052857396104",2902,2717,185,93.7,93936.23,57774.0
Mecca,"21.368125089451546, 39.818571490798384",3164,2541,623,80.3,84341.46,49915.68
Mecca,"21.367909753546428, 39.82152566481865",1489,1108,381,74.4,48076.08,93403.53
Mecca,"21.36476581211426, 39.82427959122035",1464,1298,166,88.7,37594.94,61515.72
Mecca,"21.365995408538453, 39.828389930210854",975,636,339,65.3,87638.78,65426.21
Mecca,"21.367875607222416, 39.8314562561135",2039,1724,315,84.6,72046.38,98578.49
Mecca,"21.367909663932966, 39.832400556171706",2903,2717,186,93.6,68235.32,55479.1
Mecca,"21.36781616470321, 39.83509904917228",2017,1594,423,79.0,93737.7,40281.29
Mecca,"21.368155333798292, 39.84143437300535",1564,1452,112,92.9,85987.92,47310.51
Mecca,"21.36555640153685, 39.844599679755724",2379,1807,572,76.0,91782.11,96459.66
Mecca,"21.366507879605383, 39.84588743013602",1216,1118,98,92.0,61534.55,49117.75
Mecca,"21.36784804866328, 39.84891038194962",3418,2740,678,80.2,119672.24,97666.44
Mecca,"21.364761324405475, 39.852105852486645",1583,1390,193,87.9,96142.46,69182.25
Mecca,"21.365979714471457, 39.858124078434784",904,824,80,91.2,43361.79,34314.54
Mecca,"21.36853422308286, 39.85911649997089",2088,1897,191,90.9,53506.91,55151.27
Mecca,"21.367232593621097, 39.86293204687077",2985,2592,393,86.9,110412.97,46507.58
Mecca,"21.36859126541546, 39.86681152959658",1549,1223,326,79.0,114397.32,98099.22
Mecca,"21.368423615227965, 39.868461367007406",3778,2432,1346,64.4,109919.67,91371.76
Mecca,"21.368548269110757, 39.87204760459802",1831,1351,480,73.8,115126.91,63362.95
Mecca,"21.36851680392971, 39.87572853211676",1134,930,204,82.0,119921.12,41066.89
Mecca,"21.365100276855525, 39.879738255034255",1371,972,399,71.0,114669.97,97726.76
Mecca,"21.367580846909277, 39.882588042590115",1836,1203,633,65.6,80636.19,60870.8
Mecca,"21.36709150207989, 39.88671235890534",961,850,111,88.5,75297.39,32074.65
Mecca,"21.366207448400047, 39.89030635217399",3965,2565,1400,64.7,113090.79,43853.21
Mecca,"21.365685556691222, 39.89416847446867",3398,3149,249,92.7,91157.54,82590.6
Mecca,"21.36467343177954, 39.898368967328665",2821,2324,497,82.4,112343.94,59862.44
Mecca,"21.36682047465504, 39.90087771999658",2418,2220,198,91.8,60702.63,97993.88
Mecca,"21.37096780031136, 39.80068251401773",3670,3327,343,90.7,108538.7,64075.64
Mecca,"21.369456885887125, 39.801613228577835",1349,844,505,62.6,73149.81,53662.89
Mecca,"21.370656950739647, 39.80598746681083",1996,1786,210,89.5,39399.52,46877.14
Mecca,"21.369255662580233, 39.81139206111802",1695,1431,264,84.5,110009.93,55925.96
Mecca,"21.370879017052058, 39.812534622406176",1099,666,433,60.7,92223.21,86272.74
Mecca,"21.369237138648835, 39.81630023830114",3250,2762,488,85.0,76908.95,94205.81
Mecca,"21.36960960154823, 39.8191826208101",1961,1724,237,87.9,103367.79,39629.84
Mecca,"21.36850915119624, 39.82301511866842",1932,1282,650,66.4,64440.19,91975.39
Mecca,"21.37176145468292, 39.82737593844775",2589,2228,361,86.1,91646.25,67229.47
Mecca,"21.37161122218293, 39.8304620596638",3548,2386,1162,67.3,50119.96,99866.24
Mecca,"21.369203799498262, 39.83352508218587",2579,2226,353,86.3,116047.71,79670.42
Mecca,"21.36800162375879, 39.835814321534144",1758,1412,346,80.3,62120.32,42969.62
Mecca,"21.36971955259996, 39.84031993912478",3075,2552,523,83.0,103419.72,41848.16
Mecca,"21.370618822494812, 39.84319328609432",2894,2320,574,80.2,112166.03,75367.29
Mecca,"21.369768639197222, 39.84552147227062",3546,2905,641,81.9,101050.64,62159.4
Mecca,"21.369892744743638, 39.85160472330331",3466,2596,870,74.9,36814.05,91924.74
Mecca,"21.37118409904051, 39.852012098918124",3821,3521,300,92.2,58306.76,75549.95
Mecca,"21.3683391821469, 39.85672847470632",1751,1266,485,72.3,112697.3,84129.11
Mecca,"21.370531763423063, 39.85934075302164",1746,1095,651,62.8,87206.66,55705.1
Mecca,"21.371273693858146, 39.864337885883494",1763,1101,662,62.5,41854.7,59846.71
Mecca,"21.37069118268223, 39.865565229330656",3169,2559,610,80.8,92329.28,75556.05
Mecca,"21.368796519730907, 39.8680977015509",2105,1446,659,68.7,95104.26,80394.04
Mecca,"21.368979370176316, 39.87323387871021",2217,1335,882,60.2,74889.05,89827.17
Mecca,"21.3713989507785, 39.87495797958341",3484,2094,1390,60.1,75756.32,30429.1
Mecca,"21.369657764043993, 39.880519061522946",3087,2448,639,79.3,100817.76,50827.31
Mecca,"21.36877774094696, 39.8841187503353",1957,1625,332,83.1,86800.84,85465.8
Mecca,"21.369977508676044, 39.88564260442498",2436,1630,806,66.9,64452.76,56451.94
Mecca,"21.37062423204445, 39.888022179272554",2504,2119,385,84.7,70241.29,83808.79
Mecca,"21.371003857906476, 39.894413518087624",1773,1403,370,79.1,35976.2,52774.85
Mecca,"21.368426349186254, 39.89636725144244",3170,2299,871,72.5,86925.43,87624.42
Mecca,"21.368703546726827, 39.90183186416912",3062,2136,926,69.8,65514.63,82377.68
Mecca,"21.37340516433511, 39.79820087354056",1467,1342,125,91.5,84529.41,53565.29
Mecca,"21.372330126451974, 39.80472667872274",1603,1420,183,88.6,105079.76,79558.74
Mecca,"21.373159180635216, 39.807872333073554",3841,2744,1097,71.5,40722.28,50590.17
Mecca,"21.37400364426368, 39.81195156981226",3183,2370,813,74.5,91053.01,54807.11
Mecca,"21.373715142607214, 39.81513349176711",3862,3268,594,84.6,112922.15,31813.68
Mecca,"21.374899037036577, 39.81711727595771",2482,1921,561,77.4,64123.12,77076.71
Mecca,"21.37421042917844, 39.820019112659296",2556,1738,818,68.0,99286.33,81389.42
Mecca,"21.37465561001222, 39.82352482113578",840,781,59,93.0,63489.84,32130.69
Mecca,"21.374922165746266, 39.8276412884353",1065,822,243,77.2,77213.34,94510.53
Mecca,"21.373232031080626, 39.82903676619386",1383,897,486,64.9,57169.26,59386.64
Mecca,"21.372322292283375, 39.83388397908043",3675,2831,844,77.0,77697.9,86688.86
Mecca,"21.374396588070525, 39.836751865917975",961,910,51,94.8,51891.37,96909.09
Mecca,"21.37384032708126, 39.839098389787665",3578,2362,1216,66.0,88830.58,68149.48
Mecca,"21.371643266748794, 39.84247624593679",1373,1071,302,78.1,72514.61,92079.01
Mecca,"21.372420193761663, 39.84594550494034",2955,2616,339,88.6,90576.5,69914.19
Mecca,"21.37349394222341, 39.84855349624606",1742,1260,482,72.4,108161.15,77232.19
Mecca,"21.372258379252248, 39.85410913258253",3838,3218,620,83.9,98675.82,91412.82
Mecca,"21.37415900990011, 39.85492358206952",1291,806,485,62.5,48704.67,82444.31
Mecca,"21.372963730812, 39.860170444562016",3181,2379,802,74.8,99380.7,64863.06
Mecca,"21.372996430269747, 39.862160670891384",1690,1055,635,62.5,60994.12,88888.39
Mecca,"21.373013907404427, 39.86828602058003",1643,1123,520,68.4,118982.1,92836.59
Mecca,"21.373669650990152, 39.87078209194599",2991,2322,669,77.6,48767.78,46851.65
Mecca,"21.37476026146255, 39.87439571163781",2569,2199,370,85.6,63417.99,97975.74
Mecca,"21.372854857449045, 39.874690251001",1862,1556,306,83.6,37239.49,46441.35
Mecca,"21.372740368544022, 39.881013900500236",2981,1888,1093,63.3,103099.15,47041.8
Mecca,"21.37474712513561, 39.885147054687216",2510,1767,743,70.4,115905.98,80068.43
Mecca,"21.373009418463855, 39.887656729342574",3575,2191,1384,61.3,38785.25,34740.56
Mecca,"21.37351786257227, 39.890413010355765",1426,1007,419,70.7,95045.86,31661.5
Mecca,"21.37221548811063, 39.892211019871816",1157,875,282,75.7,46450.86,48325.35
Mecca,"21.37307667723752, 39.89478276594645",2531,1574,957,62.2,88924.63,62940.75
Mecca,"21.37267785150813, 39.900716567540115",2625,2164,461,82.5,88748.55,42860.17
Mecca,"21.37628393334322, 39.79866017892481",1063,742,321,69.9,86559.5,63477.31
Mecca,"21.3765362272636, 39.80184384452245",844,568,276,67.3,45910.53,31441.99
Mecca,"21.377155694510567, 39.80477453247428",1568,1294,274,82.5,91464.78,47906.9
Mecca,"21.37624274769203, 39.8102575679321",3766,2529,1237,67.2,60962.01,37313.15
Mecca,"21.374775074852028, 39.81390433192537",2484,1804,680,72.6,109017.03,86335.27
Mecca,"21.37520946461559, 39.81651346044287",2005,1794,211,89.5,35165.26,30839.08
Mecca,"21.374867805200623, 39.819516415456754",1997,1275,722,63.9,45366.49,53535.97
Mecca,"21.375513307803516, 39.822640716552854",2167,2028,139,93.6,73693.27,51242.3
Mecca,"21.377711585498243, 39.82618317152892",993,846,147,85.2,99586.34,99895.45
Mecca,"21.37767470596089, 39.83132769714062",3604,3021,583,83.8,92716.3,71775.72
Mecca,"21.3756757527938, 39.83166095826437",2263,1693,570,74.8,108153.14,78471.42
Mecca,"21.37474419981487, 39.83682434285836",1334,1107,227,83.0,76575.31,85643.76
Mecca,"21.378666297980704, 39.83939984137488",1114,945,169,84.9,103062.69,71993.69
Mecca,"21.377267243039668, 39.84445826553178",3906,3108,798,79.6,84474.65,64777.2
Mecca,"21.377273685287644, 39.8476835994829",3068,2813,255,91.7,104969.57,64377.46
Mecca,"21.37846511359753, 39.84879744272944",2750,2357,393,85.7,113015.1,90533.77
Mecca,"21.37474818673595, 39.85194286271647",1691,1310,381,77.5,74501.14,35351.96
Mecca,"21.375171550566165, 39.857344502045144",1672,1358,314,81.2,42142.09,97967.3
Mecca,"21.37692254499439, 39.858871858163624",1714,1397,317,81.5,89673.96,85991.69
Mecca,"21.377464526551652, 39.864400925726756",970,676,294,69.7,75506.88,32718.44
Mecca,"21.37533782324014, 39.86709565664223",2279,1460,819,64.1,56497.58,53910.78
Mecca,"21.37765836927449, 39.86845813148551",2853,2121,732,74.3,78333.51,88032.5
Mecca,"21.377943871363914, 39.87519221642547",3442,2952,490,85.8,73780.82,80693.41
Mecca,"21.3750990616653, 39.874769380368654",1949,1246,703,64.0,82219.25,77991.37
Mecca,"21.37591449564425, 39.8807093891474",2842,2661,181,93.7,84192.81,58191.78
Mecca,"21.378499358019493, 39.882919951099396",2076,1774,302,85.5,38404.26,73846.5
Mecca,"21.377526725486867, 39.88497065257803",1238,893,345,72.2,76179.1,52329.88
Mecca,"21.3774291243304, 39.890508969582406",2157,1762,395,81.7,112109.68,37423.01
Mecca,"21.37507427188845, 39.89442325687313",3009,2476,533,82.3,55266.21,57390.83
Mecca,"21.378067839623025, 39.897068313125935",1374,840,534,61.2,111544.84,87906.71
Mecca,"21.37515088692694, 39.901935377406055",3261,2174,1087,66.7,55020.75,42789.02
Mecca,"21.381130541385446, 39.79938881506123",1132,946,186,83.6,61877.01,32176.77
Mecca,"21.37971351205294, 39.8028156168382",2481,1686,795,68.0,61691.14,59433.36
Mecca,"21.38002384315871, 39.80603159136611",2668,1608,1060,60.3,118055.3,81721.71
Mecca,"21.381398302508, 39.811289323672355",3400,2128,1272,62.6,65184.82,62104.55
Mecca,"21.37842215548258, 39.815176483602194",3489,2434,1055,69.8,39689.43,92672.9
Mecca,"21.38054234042441, 39.81798149591067",2270,1904,366,83.9,64600.61,53560.3
Mecca,"21.380829234574826, 39.81974194858003",1697,1418,279,83.6,57693.31,95587.89
Mecca,"21.380935181216056, 39.82519522825828",947,717,230,75.8,114820.49,66130.4
Mecca,"21.379080329585552, 39.82789946354189",3230,2703,527,83.7,73762.76,78898.05
Mecca,"21.380152691625796, 39.82993399001553",2861,2592,269,90.6,80733.96,86174.55
Mecca,"21.37974229797202, 39.83425743819055",1474,1216,258,82.6,111286.48,39479.7
Mecca,"21.3790735821522, 39.83807351930675",1233,1068,165,86.7,37659.11,32708.94
Mecca,"21.381322924075565, 39.83834665159222",3993,2591,1402,64.9,91617.16,94789.68
Mecca,"21.381526524736014, 39.8423087870901",888,771,117,86.9,87576.78,64614.3
Mecca,"21.379858833866415, 39.84710799348358",1078,1019,59,94.6,101494.75,50653.16
Mecca,"21.379515957216515, 39.84811479999107",1232,1035,197,84.1,66200.19,64424.69
Mecca,"21.38140381134525, 39.85206069276196",3637,2202,1435,60.5,115204.78,36634.49
Mecca,"21.378848479400723, 39.857857996093976",894,834,60,93.3,118773.55,68636.62
Mecca,"21.37936135537266, 39.86152127991903",2474,1903,571,76.9,79354.42,47997.85
Mecca,"21.38080473500133, 39.862438407636354",1919,1251,668,65.2,71839.31,83871.36
Mecca,"21.37804060445776, 39.86845891697777",2031,1804,227,88.8,116701.09,34150.59
Mecca,"21.378342451847836, 39.87088029865642",1859,1481,378,79.7,70226.39,35751.5
Mecca,"21.379954311387397, 39.874365991947265",864,814,50,94.3,77676.86,62634.09
Mecca,"21.380762437357788, 39.87725027826563",856,582,274,68.1,48347.56,62427.08
Mecca,"21.379963285340317, 39.88117173147253",992,835,157,84.3,91067.14,45689.02
Mecca,"21.378372213402223, 39.882219718935225",3891,2374,1517,61.0,55763.28,51557.04
Mecca,"21.38076714862118, 39.88589149078718",2340,1944,396,83.1,100677.61,69640.63
Mecca,"21.38032622234133, 39.88989304195504",3313,3002,311,90.6,90867.83,47945.69
Mecca,"21.380123687724584, 39.89303534858415",3582,2224,1358,62.1,53172.12,84305.91
Mecca,"21.380983741746856, 39.89598983185545",1868,1642,226,87.9,54344.27,98782.86
Mecca,"21.380811419768747, 39.899083665707906",2700,2037,663,75.5,85558.1,81848.04
