city,geo_location,total_housing_units,avg_rooms,avg_bathrooms,avg_square_footage,avg_year_built,ownership_rate,occupancy_rate
Mecca,"21.356419067002328, 39.846736970030804",1376,5.8,1.8,806,1973,43.5,86.3
Mecca,"21.35515068345014, 39.84889878934812",818,3.8,1.7,1733,1976,70.1,91.5
Mecca,"21.356019008915258, 39.85368656820716",468,4.5,2.6,1967,1999,53.7,94.4
Mecca,"21.355587125597054, 39.85554753620447",1438,5.0,1.9,2191,1984,50.9,92.5
Mecca,"21.354950639010706, 39.86052441182908",1493,5.4,2.6,1791,1999,67.9,91.9
Mecca,"21.355582433801914, 39.864955013385355",952,5.0,1.7,1008,1989,46.7,86.0
Mecca,"21.358105208267684, 39.864950096066224",568,3.4,2.2,848,1984,79.4,95.9
Mecca,"21.355618685204146, 39.87067591111318",1372,5.0,2.8,2239,1990,65.7,96.8
Mecca,"21.35552361389615, 39.871862580728234",1242,3.1,1.7,2064,1984,67.3,87.9
Mecca,"21.35840872362899, 39.876950839039964",478,4.7,3.0,863,1982,74.7,97.1
Mecca,"21.356557350771915, 39.88113847769716",822,4.2,2.8,1005,2004,46.0,93.1
Mecca,"21.357896654657736, 39.88209497299078",831,5.0,2.4,2034,2008,58.3,87.3
Mecca,"21.355054389923584, 39.88639087139629",766,3.3,2.0,1670,1970,57.4,90.8
Mecca,"21.356360981158748, 39.889868098672146",408,3.8,2.5,1020,1993,73.0,90.8
Mecca,"21.35758297006451, 39.894026791522506",337,5.9,2.0,1940,2003,55.5,86.9
Mecca,"21.35860332751213, 39.895060338151275",1381,3.5,2.8,1766,1990,72.3,91.5
Mecca,"21.356277151795076, 39.89935721042158",1293,4.2,2.4,934,1999,56.7,97.6
Mecca,"21.36144669014541, 39.79899462533568",1361,5.1,1.9,2484,1973,49.5,92.4
Mecca,"21.358760835633763, 39.80312778752466",371,4.1,2.8,1147,1990,68.2,86.9
Mecca,"21.359687526559338, 39.80578084724533",593,3.7,1.7,1260,2009,48.4,86.2
Mecca,"21.35899922579153, 39.8116930623971",803,5.5,3.0,2152,1991,42.3,89.2
Mecca,"21.35977252298021, 39.81477872975238",510,5.7,2.1,2224,1990,59.9,89.9
Mecca,"21.3602013012498, 39.81486901998476",919,4.5,2.9,2055,1972,57.2,90.4
Mecca,"21.36199712987365, 39.82134411034032",846,4.1,2.4,1675,2009,71.7,96.3
Mecca,"21.361875985029137, 39.825038801265364",1021,4.2,1.6,1539,1987,53.5,96.9
Mecca,"21.361394782937655, 39.825331911109075",1147,4.4,2.7,1695,1983,69.3,89.0
Mecca,"21.359942564501804, 39.82885498919679",1222,5.3,2.7,1842,1972,65.7,97.1
Mecca,"21.359604161170196, 39.83156787493322",1468,4.7,1.7,2044,1980,61.7,97.1
Mecca,"21.35951589247591, 39.83860790204179",1113,6.0,2.4,2026,2005,71.8,88.7
Mecca,"21.359060812232688, 39.84113628240779",571,5.6,2.8,2058,2005,61.4,90.8
Mecca,"21.359820033469354, 39.84302536327729",1374,3.0,1.8,935,1973,57.3,92.0
Mecca,"21.361829270563437, 39.848648357424636",1415,3.1,1.9,1486,1975,45.9,88.3
Mecca,"21.36022307329362, 39.85087363310118",1147,4.0,2.0,1340,1986,67.6,94.7
Mecca,"21.358619187301095, 39.85252016463531",729,4.2,3.0,1738,2000,48.4,93.0
Mecca,"21.361874837459876, 39.85698338782993",587,5.7,1.8,899,1981,70.2,86.3
Mecca,"21.3601687808055, 39.860991902241516",772,4.5,2.6,2445,1992,47.4,85.4
Mecca,"21.35822866109163, 39.86367004371117",1400,4.3,2.9,2053,1990,41.8,94.8
Mecca,"21.36001140153168, 39.86807754623486",657,3.7,2.0,1561,1998,72.5,94.7
Mecca,"21.35862973091176, 39.871843115613096",1312,4.9,2.6,1390,1970,47.1,86.7
Mecca,"21.35832044586096, 39.87207663317726",565,4.9,2.8,915,1978,40.6,88.7
Mecca,"21.3603801404258, 39.87736751688108",1271,5.6,2.6,1926,2006,42.0,94.4
Mecca,"21.358940815580002, 39.878479546455786",1267,5.1,2.4,933,2009,79.3,92.9
Mecca,"21.361561149256517, 39.88231819472449",1402,3.4,2.8,1500,1987,52.5,88.1
Mecca,"21.360378076614133, 39.88714419270799",602,5.3,2.3,949,1992,67.5,94.3
Mecca,"21.35967689966134, 39.890334689157164",746,5.8,2.3,2212,2007,70.0,94.7
Mecca,"21.360091130862127, 39.89507215836428",706,5.8,2.1,1309,2008,51.4,93.8
Mecca,"21.358817036797692, 39.89753143386982",456,4.8,2.8,2311,1987,76.2,94.4
Mecca,"21.358954743810465, 39.89958314338716",1397,3.3,1.7,927,1986,78.2,92.8
Mecca,"21.36402009422517, 39.799199988319195",609,5.4,2.8,1783,1977,49.4,94.7
Mecca,"21.36259804211842, 39.804340791302984",1304,5.2,2.4,2350,1984,67.1,97.9
Mecca,"21.361623505791307, 39.80649980875714",730,4.9,1.7,909,2002,79.8,92.3
Mecca,"21.36532715109675, 39.81198438579142",1360,5.1,2.9,1617,1979,69.1,86.8
Mecca,"21.361626376217732, 39.8121859505824",1319,3.9,2.6,1682,2002,43.6,96.6
Mecca,"21.362394134992336, 39.81839970417864",932,3.8,1.5,2409,1978,70.5,88.5
Mecca,"21.364856790028078, 39.82151708096994",610,4.0,2.2,1036,1994,52.0,95.5
Mecca,"21.36281144168829, 39.82196432066276",1326,4.0,1.9,2073,1972,48.6,86.7
Mecca,"21.364668313151892, 39.82748082636701",688,3.2,2.4,1436,2007,63.9,86.2
Mecca,"21.363780044396236, 39.83194893225453",898,4.9,2.6,1556,1993,72.4,97.1
Mecca,"21.363949238604174, 39.831364625761935",791,5.9,2.9,848,2000,46.1,96.1
Mecca,"21.364601749873795, 39.83586418167547",595,4.0,2.0,1968,1978,42.2,89.9
Mecca,"21.363986888193196, 39.841755720015705",622,4.3,2.3,1279,1973,61.9,95.3
Mecca,"21.361870497790907, 39.84179504801501",1258,5.4,2.8,2366,1994,43.5,91.1
Mecca,"21.361761477244173, 39.8468795612302",1175,4.9,2.2,1118,2008,45.0,96.3
Mecca,"21.362422726182594, 39.850419319308116",917,3.5,2.4,1424,1998,65.1,85.8
Mecca,"21.364203782081887, 39.85214772258264",491,5.1,2.8,908,1999,61.1,97.3
Mecca,"21.363870285168872, 39.85572260227318",1004,5.8,2.5,1160,1985,43.9,91.2
Mecca,"21.36328746074193, 39.861621345964316",1441,3.5,2.8,2323,1983,46.1,95.3
Mecca,"21.364717748186514, 39.86170252720418",1334,4.5,3.0,1327,2006,77.7,95.7
Mecca,"21.36302763642359, 39.865773387562555",861,4.3,1.5,2233,1990,65.7,92.6
Mecca,"21.361347516089683, 39.87108447689208",984,5.0,1.6,2072,1971,50.4,95.5
Mecca,"21.36388178684254, 39.87238115438307",879,4.4,2.8,2313,2003,62.4,95.7
Mecca,"21.364298256966723, 39.87687338835117",978,5.8,2.1,1074,2005,60.9,88.3
Mecca,"21.363044081009257, 39.878038678798426",536,3.7,2.5,1347,1996,74.5,93.9
Mecca,"21.361634308773628, 39.884865758906535",451,3.2,2.2,1610,1971,49.5,87.8
Mecca,"21.36494904761957, 39.88684902782349",1411,3.4,2.0,2260,1971,47.0,89.0
Mecca,"21.36467171341288, 39.89033003826596",469,5.2,2.7,1429,2006,75.8,97.2
Mecca,"21.361925708475603, 39.89184311541046",1387,3.6,2.3,1468,1971,43.8,86.3
Mecca,"21.362566366733052, 39.89826259262164",760,4.0,1.9,2175,1982,76.4,94.3
Mecca,"21.364517822552884, 39.901442810328",1330,4.7,2.8,2202,1997,58.1,88.7
Mecca,"21.36826236521277, 39.79884030615336",1161,4.9,2.6,1133,1979,50.9,85.2
Mecca,"21.365664785623558, 39.80174450782001",390,5.0,2.8,1993,1992,43.3,86.5
Mecca,"21.367787131634152, 39.808203205472466",1351,6.0,1.9,805,2005,45.0,87.0
Mecca,"21.366292176225997, 39.8104826460406",1396,5.0,2.6,1814,1994,64.5,97.5
Mecca,"21.365284880019995, 39.815052857396104",815,5.3,2.2,1133,1979,47.0,97.9
Mecca,"21.368125089451546, 39.818571490798384",719,5.1,2.1,2262,1984,56.1,92.2
Mecca,"21.367909753546428, 39.82152566481865",421,5.6,2.8,817,1991,55.0,92.1
Mecca,"21.36476581211426, 39.82427959122035",908,5.3,2.9,1946,1993,67.8,90.8
Mecca,"21.365995408538453, 39.828389930210854",1056,3.2,2.8,2425,2000,55.8,86.0
Mecca,"21.367875607222416, 39.8314562561135",686,5.0,2.8,1810,1980,44.5,87.2
Mecca,"21.367909663932966, 39.832400556171706",534,5.2,1.6,1571,2006,77.2,88.6
Mecca,"21.36781616470321, 39.83509904917228",311,4.3,2.2,928,1997,56.8,85.8
Mecca,"21.368155333798292, 39.84143437300535",363,4.7,2.7,1175,1974,77.1,95.5
Mecca,"21.36555640153685, 39.844599679755724",932,5.5,2.6,1532,1977,54.7,87.9
Mecca,"21.366507879605383, 39.84588743013602",793,5.5,2.7,2268,1983,44.1,97.8
Mecca,"21.36784804866328, 39.84891038194962",568,5.5,2.9,1729,1974,47.4,93.6
Mecca,"21.364761324405475, 39.852105852486645",823,6.0,2.8,1890,1972,45.4,92.5
Mecca,"21.365979714471457, 39.858124078434784",1311,5.5,2.0,1718,1991,53.7,93.3
Mecca,"21.36853422308286, 39.85911649997089",678,3.4,2.2,2069,1971,66.8,92.7
Mecca,"21.367232593621097, 39.86293204687077",1061,5.9,2.2,1996,1999,74.8,96.9
Mecca,"21.36859126541546, 39.86681152959658",1009,3.2,2.3,1945,1998,46.4,90.6
Mecca,"21.368423615227965, 39.868461367007406",671,3.3,2.0,1037,1991,60.4,85.9
Mecca,"21.368548269110757, 39.87204760459802",776,5.8,2.6,2288,1990,66.0,97.1
Mecca,"21.36851680392971, 39.87572853211676",1293,4.9,2.1,2137,2003,74.0,93.0
Mecca,"21.365100276855525, 39.879738255034255",608,3.0,2.1,937,2009,54.7,93.4
Mecca,"21.367580846909277, 39.882588042590115",311,5.4,2.7,2275,1978,69.6,85.1
Mecca,"21.36709150207989, 39.88671235890534",748,3.8,1.9,990,2006,62.5,91.6
Mecca,"21.366207448400047, 39.89030635217399",592,5.1,2.3,1298,1979,66.9,96.8
Mecca,"21.365685556691222, 39.89416847446867",722,3.3,1.9,2373,1976,40.8,97.7
Mecca,"21.36467343177954, 39.898368967328665",403,4.6,2.7,2154,1979,43.6,86.5
Mecca,"21.36682047465504, 39.90087771999658",913,3.0,2.0,2456,1989,71.7,87.2
Mecca,"21.37096780031136, 39.80068251401773",1152,5.7,1.9,1320,1999,51.5,97.2
Mecca,"21.369456885887125, 39.801613228577835",983,3.6,2.9,2383,1995,59.2,89.4
Mecca,"21.370656950739647, 39.80598746681083",1026,3.1,2.3,2322,1992,61.1,91.9
Mecca,"21.369255662580233, 39.81139206111802",499,5.8,1.6,2411,1996,63.2,89.3
Mecca,"21.370879017052058, 39.812534622406176",1355,4.6,2.7,1634,2002,72.7,96.8
Mecca,"21.369237138648835, 39.81630023830114",549,3.9,1.8,1383,1976,52.2,95.6
Mecca,"21.36960960154823, 39.8191826208101",1148,3.6,2.9,2014,2001,61.7,87.3
Mecca,"21.36850915119624, 39.82301511866842",728,5.9,1.8,1693,2001,70.1,91.3
Mecca,"21.37176145468292, 39.82737593844775",939,4.8,1.9,2298,1989,67.8,85.4
Mecca,"21.37161122218293, 39.8304620596638",1077,4.1,2.3,1849,1980,62.4,85.7
Mecca,"21.369203799498262, 39.83352508218587",782,5.2,1.9,850,1974,54.2,88.6
Mecca,"21.36800162375879, 39.835814321534144",1398,5.2,2.7,2069,2001,50.1,93.6
Mecca,"21.36971955259996, 39.84031993912478",1368,5.1,2.2,1630,2001,50.7,92.5
Mecca,"21.370618822494812, 39.84319328609432",1500,4.7,2.5,1646,1974,74.7,96.8
Mecca,"21.369768639197222, 39.84552147227062",435,5.2,2.7,1045,2000,56.3,96.5
Mecca,"21.369892744743638, 39.85160472330331",883,5.9,1.6,1168,1980,47.6,94.4
Mecca,"21.37118409904051, 39.852012098918124",1266,3.2,2.8,1347,1984,72.9,94.0
Mecca,"21.3683391821469, 39.85672847470632",691,3.9,2.3,2332,1975,75.1,89.6
Mecca,"21.370531763423063, 39.85934075302164",1230,5.0,3.0,896,1988,50.1,86.8
Mecca,"21.371273693858146, 39.864337885883494",686,4.9,2.1,1413,1991,54.6,86.4
Mecca,"21.37069118268223, 39.865565229330656",830,3.3,1.5,2088,2007,70.7,90.8
Mecca,"21.368796519730907, 39.8680977015509",949,5.0,1.9,1500,2004,63.3,94.8
Mecca,"21.368979370176316, 39.87323387871021",607,6.0,1.5,1530,1978,49.1,95.8
Mecca,"21.3713989507785, 39.87495797958341",772,4.2,2.8,1142,2000,49.2,86.5
Mecca,"21.369657764043993, 39.880519061522946",500,3.9,1.9,1648,1996,42.3,97.8
Mecca,"21.36877774094696, 39.8841187503353",1386,3.6,1.5,1092,2000,61.6,96.6
Mecca,"21.369977508676044, 39.88564260442498",744,3.4,1.6,1101,1984,52.8,98.0
Mecca,"21.37062423204445, 39.888022179272554",876,4.4,2.5,1825,1986,59.6,89.2
Mecca,"21.371003857906476, 39.894413518087624",594,3.3,1.5,1220,1972,76.5,91.6
Mecca,"21.368426349186254, 39.89636725144244",1234,5.4,2.7,1850,2001,67.4,87.6
Mecca,"21.368703546726827, 39.90183186416912",1101,3.8,2.7,1819,1978,48.8,94.2
Mecca,"21.37340516433511, 39.79820087354056",988,5.6,1.7,979,1983,46.0,95.4
Mecca,"21.372330126451974, 39.80472667872274",573,5.5,2.2,938,1991,64.1,93.4
Mecca,"21.373159180635216, 39.807872333073554",623,5.8,2.6,905,1978,42.6,86.2
Mecca,"21.37400364426368, 39.81195156981226",1093,4.3,1.8,1042,1998,65.7,93.4
Mecca,"21.373715142607214, 39.81513349176711",1217,6.0,2.4,2179,1982,59.5,94.6
Mecca,"21.374899037036577, 39.81711727595771",349,5.3,2.0,2316,2009,57.7,95.2
Mecca,"21.37421042917844, 39.820019112659296",1234,4.8,2.5,1034,1986,71.7,88.6
Mecca,"21.37465561001222, 39.82352482113578",1478,4.2,2.9,2081,1979,41.5,91.1
Mecca,"21.374922165746266, 39.8276412884353",1386,5.8,1.8,2005,1996,73.0,92.2
Mecca,"21.373232031080626, 39.82903676619386",456,4.4,2.2,1148,1995,74.6,87.9
Mecca,"21.372322292283375, 39.83388397908043",679,3.2,2.3,1572,2006,44.1,90.0
Mecca,"21.374396588070525, 39.836751865917975",1084,4.9,2.8,1694,1988,53.1,93.7
Mecca,"21.37384032708126, 39.839098389787665",398,4.1,2.5,2181,1995,48.5,88.9
Mecca,"21.371643266748794, 39.84247624593679",1143,4.6,2.7,803,1995,57.9,93.8
Mecca,"21.372420193761663, 39.84594550494034",1235,5.3,2.6,1807,1993,74.1,90.2
Mecca,"21.37349394222341, 39.84855349624606",503,4.2,2.1,1062,1999,78.8,97.3
Mecca,"21.372258379252248, 39.85410913258253",1415,4.3,2.8,1026,1986,79.6,90.0
Mecca,"21.37415900990011, 39.85492358206952",1174,5.2,2.2,2207,1979,55.0,88.0
Mecca,"21.372963730812, 39.860170444562016",1062,3.4,1.9,820,2002,58.1,89.8
Mecca,"21.372996430269747, 39.862160670891384",825,3.0,2.3,994,1978,60.4,95.2
Mecca,"21.373013907404427, 39.86828602058003",1474,3.2,1.6,1340,1976,61.8,86.7
Mecca,"21.373669650990152, 39.87078209194599",1260,4.8,3.0,1622,1996,63.2,91.5
Mecca,"21.37476026146255, 39.87439571163781",1399,5.0,1.7,1678,1985,68.2,90.4
Mecca,"21.372854857449045, 39.874690251001",834,3.1,1.8,1889,1975,76.9,85.3
Mecca,"21.372740368544022, 39.881013900500236",649,5.7,1.8,1312,2004,57.3,97.6
Mecca,"21.37474712513561, 39.885147054687216",1146,4.0,2.2,2207,1992,55.9,97.9
Mecca,"21.373009418463855, 39.887656729342574",1126,4.1,2.2,889,2006,61.8,91.9
Mecca,"21.37351786257227, 39.890413010355765",703,5.3,1.8,2476,1997,60.9,85.3
Mecca,"21.37221548811063, 39.892211019871816",1483,5.1,1.8,1472,1994,58.2,95.0
Mecca,"21.37307667723752, 39.89478276594645",1479,4.7,2.2,2458,1982,57.8,95.9
Mecca,"21.37267785150813, 39.900716567540115",1463,4.7,1.9,894,1997,75.6,90.9
Mecca,"21.37628393334322, 39.79866017892481",959,3.9,1.7,2080,1975,50.7,96.4
Mecca,"21.3765362272636, 39.80184384452245",970,5.4,2.4,1502,1999,72.9,96.7
Mecca,"21.377155694510567, 39.80477453247428",526,4.5,2.8,932,1987,61.6,91.4
Mecca,"21.37624274769203, 39.8102575679321",534,5.2,1.6,2372,2007,62.8,91.1
Mecca,"21.374775074852028, 39.81390433192537",1084,5.8,1.6,1104,1971,65.9,88.2
Mecca,"21.37520946461559, 39.81651346044287",1180,3.9,1.7,1670,1975,53.7,87.3
Mecca,"21.374867805200623, 39.819516415456754",360,4.8,1.7,2487,2009,66.2,90.2
Mecca,"21.375513307803516, 39.822640716552854",522,3.4,2.8,839,1984,80.0,93.4
Mecca,"21.377711585498243, 39.82618317152892",353,4.7,1.7,2303,1993,56.1,88.4
Mecca,"21.37767470596089, 39.83132769714062",626,4.0,2.0,1556,1986,56.6,93.0
Mecca,"21.3756757527938, 39.83166095826437",751,4.3,2.8,2398,1971,64.0,96.4
Mecca,"21.37474419981487, 39.83682434285836",1134,3.4,2.9,2175,1985,78.9,87.0
Mecca,"21.378666297980704, 39.83939984137488",692,5.1,1.6,1977,2004,56.2,88.9
Mecca,"21.377267243039668, 39.84445826553178",663,4.5,2.9,2400,1993,51.6,85.5
Mecca,"21.377273685287644, 39.8476835994829",1493,5.4,1.5,1816,1999,61.9,92.2
Mecca,"21.37846511359753, 39.84879744272944",563,3.7,2.8,921,1980,63.1,91.4
Mecca,"21.37474818673595, 39.85194286271647",514,3.7,2.1,1521,2008,42.2,97.5
Mecca,"21.375171550566165, 39.857344502045144",1390,5.7,2.2,1334,2007,47.6,86.3
Mecca,"21.37692254499439, 39.858871858163624",1243,5.4,2.2,2139,1983,78.5,92.0
Mecca,"21.377464526551652, 39.864400925726756",1323,4.0,2.6,1662,2003,53.6,94.5
Mecca,"21.37533782324014, 39.86709565664223",815,5.9,3.0,1782,1996,42.2,92.4
Mecca,"21.37765836927449, 39.86845813148551",1247,5.2,2.7,1145,2008,40.1,85.4
Mecca,"21.377943871363914, 39.87519221642547",485,3.8,2.9,1129,1996,76.0,94.0
Mecca,"21.3750990616653, 39.874769380368654",939,4.9,1.7,814,1981,45.3,87.7
Mecca,"21.37591449564425, 39.8807093891474",588,5.8,1.6,2448,2005,62.1,90.0
Mecca,"21.378499358019493, 39.882919951099396",1419,4.1,2.5,1980,2008,50.4,91.3
Mecca,"21.377526725486867, 39.88497065257803",437,4.8,1.9,1084,1974,76.0,90.7
Mecca,"21.3774291243304, 39.890508969582406",878,4.2,2.0,2326,1979,68.1,86.1
Mecca,"21.37507427188845, 39.89442325687313",812,3.3,2.8,919,2007,74.6,87.3
Mecca,"21.378067839623025, 39.897068313125935",763,3.4,2.6,1579,2008,50.1,91.2
Mecca,"21.37515088692694, 39.901935377406055",1116,6.0,2.2,882,1983,68.5,94.2
Mecca,"21.381130541385446, 39.79938881506123",380,5.3,2.9,1685,1981,74.2,87.0
Mecca,"21.37971351205294, 39.8028156168382",730,3.8,2.1,2222,1990,53.2,86.5
Mecca,"21.38002384315871, 39.80603159136611",672,4.2,2.6,809,2004,66.7,86.3
Mecca,"21.381398302508, 39.811289323672355",955,5.8,2.9,1738,1996,63.1,86.7
Mecca,"21.37842215548258, 39.815176483602194",1332,3.6,2.4,1046,2001,48.3,91.0
Mecca,"21.38054234042441, 39.81798149591067",818,5.0,2.7,871,1996,60.6,97.6
Mecca,"21.380829234574826, 39.81974194858003",1316,3.5,1.9,859,1976,58.3,95.0
Mecca,"21.380935181216056, 39.82519522825828",986,3.4,2.4,2205,1995,67.0,97.9
Mecca,"21.379080329585552, 39.82789946354189",1399,5.2,2.0,1452,1995,49.7,89.9
Mecca,"21.380152691625796, 39.82993399001553",381,4.9,1.7,1672,1978,69.2,88.8
Mecca,"21.37974229797202, 39.83425743819055",1203,5.4,2.7,1415,1986,76.6,86.2
Mecca,"21.3790735821522, 39.83807351930675",1385,5.5,3.0,2389,1994,75.7,97.1
Mecca,"21.381322924075565, 39.83834665159222",623,5.6,1.7,1984,1994,53.2,86.0
Mecca,"21.381526524736014, 39.8423087870901",525,4.0,2.7,1602,1992,53.5,90.8
