city,geo_location,primary_language,primary_language_percentage,secondary_language,secondary_language_percentage,avg_years_education,most_common_education,bachelor_or_higher_percentage
Mecca,"21.35252711249913, 39.89055579797947",English,59.2,Mandarin,15.2,15.0,High School,44.6
Mecca,"21.35376921417909, 39.89194469040753",Mandarin,55.8,English,25.2,16.3,Bachelor,68.7
Mecca,"21.354383376533637, 39.89682418278715",English,35.2,French,21.0,13.4,Associate Degree,43.6
Mecca,"21.354447839247857, 39.900121414688776",Mandarin,43.2,English,33.5,14.5,High School,34.1
Mecca,"21.35466895425118, 39.79929662422801",Mandarin,38.1,Spanish,26.2,15.1,Master,73.0
Mecca,"21.35474457363621, 39.805049727798384",English,44.3,Arabic,24.5,13.2,Bachelor,55.9
Mecca,"21.35818155417796, 39.80799332878411",Spanish,33.9,English,33.2,16.2,High School,55.3
Mecca,"21.35589672316828, 39.80823170066597",Spanish,37.2,French,24.0,14.2,PhD,65.0
Mecca,"21.358178705063484, 39.81512113111452",English,71.1,French,15.4,14.2,Associate Degree,57.0
Mecca,"21.355009280474942, 39.81661062851993",English,59.5,Spanish,19.5,13.7,High School,40.5
Mecca,"21.354943516740544, 39.82104240866103",Mandarin,44.6,Arabic,28.6,12.2,PhD,72.1
Mecca,"21.357730004383896, 39.82184689919133",French,34.5,English,27.0,17.1,High School,46.3
Mecca,"21.356567796179064, 39.82686588104064",Arabic,53.0,French,28.6,17.6,High School,29.0
Mecca,"21.35572689318243, 39.83148973216434",Arabic,36.3,English,23.0,16.1,Master,57.0
Mecca,"21.35635921842747, 39.8321805261551",Arabic,53.0,Spanish,25.7,17.6,High School,49.2
Mecca,"21.356823851021787, 39.837586390943024",English,40.7,French,26.4,14.0,High School,51.9
Mecca,"21.355471270920226, 39.8392468651652",French,41.5,Spanish,21.0,17.8,PhD,52.6
Mecca,"21.358647264093314, 39.84393284556389",English,62.7,French,22.1,14.1,PhD,55.9
Mecca,"21.356419067002328, 39.846736970030804",Spanish,61.4,English,16.8,14.9,Master,60.6
Mecca,"21.35515068345014, 39.84889878934812",English,44.3,Mandarin,37.7,16.1,Master,70.3
Mecca,"21.356019008915258, 39.85368656820716",Arabic,41.1,English,27.2,13.7,Associate Degree,27.3
Mecca,"21.355587125597054, 39.85554753620447",Spanish,34.8,English,32.5,14.3,Bachelor,50.5
Mecca,"21.354950639010706, 39.86052441182908",Arabic,32.9,Spanish,25.0,17.7,Bachelor,80.3
Mecca,"21.355582433801914, 39.864955013385355",Arabic,39.1,Spanish,23.7,12.1,Bachelor,56.2
Mecca,"21.358105208267684, 39.864950096066224",Arabic,49.0,Mandarin,23.3,16.7,High School,41.2
Mecca,"21.355618685204146, 39.87067591111318",Mandarin,36.5,English,31.8,17.7,Bachelor,71.0
Mecca,"21.35552361389615, 39.871862580728234",Spanish,69.0,English,23.1,16.3,Master,82.0
Mecca,"21.35840872362899, 39.876950839039964",Spanish,54.3,English,33.0,15.8,PhD,84.4
Mecca,"21.356557350771915, 39.88113847769716",Arabic,38.0,French,18.9,16.9,Associate Degree,38.6
Mecca,"21.357896654657736, 39.88209497299078",French,43.6,Spanish,22.2,16.4,Bachelor,84.9
Mecca,"21.355054389923584, 39.88639087139629",Mandarin,51.6,English,35.8,12.9,Bachelor,75.1
Mecca,"21.356360981158748, 39.889868098672146",English,29.3,French,26.9,16.5,Master,89.2
Mecca,"21.35758297006451, 39.894026791522506",Spanish,46.5,Mandarin,29.1,14.8,High School,47.2
Mecca,"21.35860332751213, 39.895060338151275",French,27.9,Arabic,25.4,17.8,Master,86.8
Mecca,"21.356277151795076, 39.89935721042158",French,31.6,Arabic,28.5,14.9,PhD,86.7
Mecca,"21.36144669014541, 39.79899462533568",French,59.0,English,25.6,13.9,Master,68.8
Mecca,"21.358760835633763, 39.80312778752466",Spanish,42.3,French,25.2,17.3,Master,83.1
Mecca,"21.359687526559338, 39.80578084724533",Spanish,47.2,English,21.0,12.1,Associate Degree,34.5
Mecca,"21.35899922579153, 39.8116930623971",English,43.5,Spanish,23.2,12.3,Bachelor,69.4
Mecca,"21.35977252298021, 39.81477872975238",English,50.7,French,24.2,17.5,Associate Degree,57.5
Mecca,"21.3602013012498, 39.81486901998476",English,43.7,Mandarin,38.6,12.2,Associate Degree,45.8
Mecca,"21.36199712987365, 39.82134411034032",Arabic,36.1,English,26.7,13.3,PhD,89.1
Mecca,"21.361875985029137, 39.825038801265364",French,34.3,Mandarin,27.3,12.1,Master,65.8
Mecca,"21.361394782937655, 39.825331911109075",English,50.0,French,32.8,13.1,High School,57.2
Mecca,"21.359942564501804, 39.82885498919679",Spanish,33.5,Mandarin,27.3,12.6,Bachelor,63.7
Mecca,"21.359604161170196, 39.83156787493322",English,64.1,French,18.5,12.8,Master,53.0
Mecca,"21.35951589247591, 39.83860790204179",Mandarin,36.9,English,26.6,15.5,PhD,70.4
Mecca,"21.359060812232688, 39.84113628240779",Mandarin,46.1,French,20.9,17.8,Bachelor,64.9
Mecca,"21.359820033469354, 39.84302536327729",English,47.3,Arabic,23.6,12.6,High School,33.1
Mecca,"21.361829270563437, 39.848648357424636",Mandarin,86.6,Arabic,6.9,12.6,Associate Degree,34.5
Mecca,"21.36022307329362, 39.85087363310118",Mandarin,40.3,Spanish,29.4,16.9,PhD,86.8
Mecca,"21.358619187301095, 39.85252016463531",Arabic,49.1,English,18.0,15.6,PhD,75.9
Mecca,"21.361874837459876, 39.85698338782993",Mandarin,38.8,English,25.6,13.3,Master,89.7
Mecca,"21.3601687808055, 39.860991902241516",Arabic,43.7,Mandarin,23.2,13.1,Master,71.3
Mecca,"21.35822866109163, 39.86367004371117",English,31.1,Arabic,21.9,15.3,High School,49.6
Mecca,"21.36001140153168, 39.86807754623486",Arabic,37.2,Mandarin,33.3,17.5,Bachelor,76.9
Mecca,"21.35862973091176, 39.871843115613096",Arabic,39.2,French,25.5,12.6,High School,52.5
Mecca,"21.35832044586096, 39.87207663317726",English,28.6,Arabic,19.4,17.9,Master,75.3
Mecca,"21.3603801404258, 39.87736751688108",Arabic,45.6,Spanish,35.5,17.6,Bachelor,55.0
Mecca,"21.358940815580002, 39.878479546455786",English,54.9,Mandarin,13.9,14.5,Bachelor,66.3
Mecca,"21.361561149256517, 39.88231819472449",Arabic,43.9,Spanish,35.8,13.4,High School,28.5
Mecca,"21.360378076614133, 39.88714419270799",Spanish,40.7,English,36.6,12.8,Bachelor,79.5
Mecca,"21.35967689966134, 39.890334689157164",Arabic,56.1,Mandarin,26.5,16.5,Associate Degree,22.0
Mecca,"21.360091130862127, 39.89507215836428",Spanish,38.6,Mandarin,28.8,16.5,Master,80.1
Mecca,"21.358817036797692, 39.89753143386982",Arabic,42.1,Spanish,40.1,12.7,PhD,76.3
Mecca,"21.358954743810465, 39.89958314338716",Arabic,58.6,Mandarin,27.5,13.6,PhD,90.2
Mecca,"21.36402009422517, 39.799199988319195",Arabic,24.5,Spanish,22.5,13.2,PhD,58.2
Mecca,"21.36259804211842, 39.804340791302984",Arabic,43.4,Mandarin,31.6,14.8,Associate Degree,40.3
Mecca,"21.361623505791307, 39.80649980875714",English,55.1,Spanish,20.9,14.0,PhD,83.1
Mecca,"21.36532715109675, 39.81198438579142",English,36.7,French,28.2,12.2,Master,85.6
Mecca,"21.361626376217732, 39.8121859505824",English,35.7,Arabic,28.3,13.9,High School,40.7
Mecca,"21.362394134992336, 39.81839970417864",Mandarin,37.8,Spanish,27.4,17.0,Associate Degree,47.4
Mecca,"21.364856790028078, 39.82151708096994",English,56.7,Mandarin,25.4,14.4,High School,46.8
Mecca,"21.36281144168829, 39.82196432066276",English,41.5,Spanish,31.3,15.3,Master,66.3
Mecca,"21.364668313151892, 39.82748082636701",Mandarin,57.4,French,31.7,14.6,Master,72.0
Mecca,"21.363780044396236, 39.83194893225453",Spanish,48.2,Mandarin,31.6,15.3,Master,57.1
Mecca,"21.363949238604174, 39.831364625761935",French,36.2,Mandarin,24.2,16.9,PhD,89.9
Mecca,"21.364601749873795, 39.83586418167547",Arabic,37.2,Spanish,23.8,16.6,Bachelor,51.8
Mecca,"21.363986888193196, 39.841755720015705",Arabic,40.8,Mandarin,22.1,17.8,Master,90.3
Mecca,"21.361870497790907, 39.84179504801501",Arabic,53.5,French,29.0,16.1,High School,37.4
Mecca,"21.361761477244173, 39.8468795612302",French,63.1,Mandarin,19.3,15.8,PhD,83.7
Mecca,"21.362422726182594, 39.850419319308116",Spanish,43.8,Mandarin,24.5,16.6,High School,37.7
Mecca,"21.364203782081887, 39.85214772258264",Spanish,47.2,Mandarin,38.6,12.6,Associate Degree,62.1
Mecca,"21.363870285168872, 39.85572260227318",Mandarin,51.2,French,21.2,13.1,High School,12.4
Mecca,"21.36328746074193, 39.861621345964316",Mandarin,77.0,English,12.6,15.2,High School,43.0
Mecca,"21.364717748186514, 39.86170252720418",Spanish,33.8,English,22.3,13.1,Master,61.2
Mecca,"21.36302763642359, 39.865773387562555",Arabic,47.8,Mandarin,27.6,17.4,PhD,81.4
Mecca,"21.361347516089683, 39.87108447689208",French,44.6,English,21.1,16.2,High School,40.4
Mecca,"21.36388178684254, 39.87238115438307",Mandarin,73.1,Spanish,10.5,14.4,Bachelor,80.1
Mecca,"21.364298256966723, 39.87687338835117",French,40.5,English,25.8,14.0,Bachelor,73.7
Mecca,"21.363044081009257, 39.878038678798426",Arabic,56.5,French,26.1,16.8,Master,67.5
Mecca,"21.361634308773628, 39.884865758906535",Mandarin,46.3,English,23.4,14.5,Associate Degree,40.0
Mecca,"21.36494904761957, 39.88684902782349",Arabic,31.7,English,28.3,16.1,Associate Degree,56.7
Mecca,"21.36467171341288, 39.89033003826596",French,49.5,Arabic,26.6,13.2,Associate Degree,57.9
Mecca,"21.361925708475603, 39.89184311541046",English,68.2,Mandarin,16.7,16.3,PhD,68.5
Mecca,"21.362566366733052, 39.89826259262164",French,36.7,English,27.5,16.9,Master,63.8
Mecca,"21.364517822552884, 39.901442810328",Mandarin,57.0,Arabic,21.4,15.4,Bachelor,59.9
Mecca,"21.36826236521277, 39.79884030615336",Arabic,37.5,Spanish,26.7,13.1,Associate Degree,56.5
Mecca,"21.365664785623558, 39.80174450782001",Mandarin,40.5,French,35.5,12.2,Bachelor,65.4
Mecca,"21.367787131634152, 39.808203205472466",Spanish,42.9,French,28.8,17.3,Master,69.0
Mecca,"21.366292176225997, 39.8104826460406",Mandarin,65.2,French,13.4,14.0,Associate Degree,61.6
Mecca,"21.365284880019995, 39.815052857396104",English,63.6,Mandarin,17.3,12.5,Associate Degree,13.7
Mecca,"21.368125089451546, 39.818571490798384",Spanish,32.0,English,28.5,14.7,Master,56.3
Mecca,"21.367909753546428, 39.82152566481865",Arabic,44.8,English,22.2,13.1,Bachelor,74.4
Mecca,"21.36476581211426, 39.82427959122035",Spanish,64.9,French,17.0,16.2,High School,38.2
Mecca,"21.365995408538453, 39.828389930210854",Mandarin,36.7,Spanish,22.2,12.6,PhD,65.9
Mecca,"21.367875607222416, 39.8314562561135",English,41.7,Spanish,22.1,13.8,Master,56.3
Mecca,"21.367909663932966, 39.832400556171706",Spanish,36.0,English,29.1,14.0,High School,33.3
Mecca,"21.36781616470321, 39.83509904917228",Mandarin,50.0,French,26.0,14.7,Master,45.6
Mecca,"21.368155333798292, 39.84143437300535",English,26.9,French,25.9,17.9,Associate Degree,33.8
Mecca,"21.36555640153685, 39.844599679755724",English,52.8,Spanish,24.6,15.4,Bachelor,54.8
Mecca,"21.366507879605383, 39.84588743013602",English,34.6,French,25.2,14.8,PhD,80.0
Mecca,"21.36784804866328, 39.84891038194962",Arabic,60.3,Spanish,12.6,15.8,Associate Degree,65.8
Mecca,"21.364761324405475, 39.852105852486645",French,62.7,Spanish,25.4,13.0,High School,49.2
Mecca,"21.365979714471457, 39.858124078434784",Mandarin,61.1,French,18.7,14.3,Master,88.8
Mecca,"21.36853422308286, 39.85911649997089",English,35.1,French,26.9,17.3,High School,31.9
Mecca,"21.367232593621097, 39.86293204687077",Arabic,34.5,French,28.8,17.3,PhD,68.5
Mecca,"21.36859126541546, 39.86681152959658",Mandarin,74.2,Arabic,15.3,14.0,Bachelor,62.4
Mecca,"21.368423615227965, 39.868461367007406",English,54.7,Spanish,19.7,13.7,Bachelor,73.3
Mecca,"21.368548269110757, 39.87204760459802",Spanish,34.4,French,24.6,17.9,Associate Degree,47.9
Mecca,"21.36851680392971, 39.87572853211676",English,45.8,Mandarin,21.2,15.5,High School,40.5
Mecca,"21.365100276855525, 39.879738255034255",English,39.3,Spanish,33.5,12.1,Bachelor,93.3
Mecca,"21.367580846909277, 39.882588042590115",Arabic,55.1,English,23.5,15.7,High School,48.1
Mecca,"21.36709150207989, 39.88671235890534",English,49.2,Arabic,36.7,15.7,High School,41.6
Mecca,"21.366207448400047, 39.89030635217399",Spanish,38.8,Mandarin,26.9,14.6,Master,82.2
Mecca,"21.365685556691222, 39.89416847446867",Arabic,44.7,Mandarin,19.1,15.6,PhD,70.6
Mecca,"21.36467343177954, 39.898368967328665",Mandarin,52.8,Spanish,17.5,12.5,PhD,65.8
Mecca,"21.36682047465504, 39.90087771999658",Mandarin,29.9,French,23.5,16.3,PhD,70.8
Mecca,"21.37096780031136, 39.80068251401773",Mandarin,54.1,Arabic,19.4,12.1,High School,8.2
Mecca,"21.369456885887125, 39.801613228577835",Spanish,31.6,Arabic,29.3,16.2,Bachelor,54.8
Mecca,"21.370656950739647, 39.80598746681083",English,35.3,Spanish,24.5,14.6,Associate Degree,22.7
Mecca,"21.369255662580233, 39.81139206111802",French,49.3,Mandarin,24.8,17.6,Associate Degree,36.0
Mecca,"21.370879017052058, 39.812534622406176",French,39.2,Mandarin,37.5,17.9,Bachelor,91.2
Mecca,"21.369237138648835, 39.81630023830114",French,61.5,English,22.9,15.4,Bachelor,66.3
Mecca,"21.36960960154823, 39.8191826208101",Mandarin,37.8,Arabic,28.5,15.6,PhD,94.0
Mecca,"21.36850915119624, 39.82301511866842",Mandarin,24.7,Spanish,20.3,13.3,Master,61.6
Mecca,"21.37176145468292, 39.82737593844775",Mandarin,32.5,French,32.1,15.1,High School,46.7
Mecca,"21.37161122218293, 39.8304620596638",Mandarin,71.3,Spanish,14.8,12.6,High School,37.9
Mecca,"21.369203799498262, 39.83352508218587",French,48.0,Mandarin,22.2,15.4,High School,53.8
Mecca,"21.36800162375879, 39.835814321534144",English,55.5,Spanish,22.7,15.9,High School,38.5
Mecca,"21.36971955259996, 39.84031993912478",English,50.0,Spanish,20.3,17.3,Associate Degree,64.8
Mecca,"21.370618822494812, 39.84319328609432",Arabic,35.4,Mandarin,33.9,15.8,Bachelor,70.0
Mecca,"21.369768639197222, 39.84552147227062",French,66.5,Mandarin,8.9,13.7,Master,50.8
Mecca,"21.369892744743638, 39.85160472330331",French,70.1,Mandarin,22.5,17.8,Master,62.9
Mecca,"21.37118409904051, 39.852012098918124",Arabic,44.2,French,36.9,17.5,Master,80.4
Mecca,"21.3683391821469, 39.85672847470632",Spanish,57.8,Mandarin,15.1,14.8,High School,42.9
Mecca,"21.370531763423063, 39.85934075302164",Mandarin,35.4,Arabic,34.2,14.3,High School,60.4
Mecca,"21.371273693858146, 39.864337885883494",Spanish,46.5,Mandarin,30.3,13.0,High School,53.8
Mecca,"21.37069118268223, 39.865565229330656",French,53.1,English,23.2,17.8,High School,26.6
Mecca,"21.368796519730907, 39.8680977015509",Mandarin,32.1,Spanish,31.9,12.5,PhD,59.0
Mecca,"21.368979370176316, 39.87323387871021",Spanish,61.7,Mandarin,19.9,16.2,PhD,71.3
Mecca,"21.3713989507785, 39.87495797958341",English,54.4,Arabic,24.3,12.1,PhD,62.5
Mecca,"21.369657764043993, 39.880519061522946",Arabic,40.0,Mandarin,25.6,12.9,Associate Degree,50.8
Mecca,"21.36877774094696, 39.8841187503353",Spanish,57.7,Mandarin,27.3,12.5,Associate Degree,41.3
Mecca,"21.369977508676044, 39.88564260442498",Mandarin,39.7,French,32.7,14.0,PhD,66.7
Mecca,"21.37062423204445, 39.888022179272554",Mandarin,41.9,French,27.1,15.0,High School,27.8
Mecca,"21.371003857906476, 39.894413518087624",Arabic,36.1,French,26.1,17.5,Associate Degree,33.3
Mecca,"21.368426349186254, 39.89636725144244",Spanish,47.3,French,33.7,15.1,Associate Degree,41.6
Mecca,"21.368703546726827, 39.90183186416912",Spanish,37.3,Arabic,21.3,14.4,High School,34.7
Mecca,"21.37340516433511, 39.79820087354056",Spanish,53.5,Arabic,32.0,13.3,High School,50.1
Mecca,"21.372330126451974, 39.80472667872274",Mandarin,51.4,Arabic,17.7,17.5,High School,56.6
Mecca,"21.373159180635216, 39.807872333073554",English,50.3,French,23.5,14.7,Master,76.1
Mecca,"21.37400364426368, 39.81195156981226",Arabic,64.7,Mandarin,23.1,14.0,High School,34.8
Mecca,"21.373715142607214, 39.81513349176711",Spanish,43.1,English,21.4,13.2,PhD,89.6
Mecca,"21.374899037036577, 39.81711727595771",Arabic,51.0,English,32.6,17.3,Master,62.1
Mecca,"21.37421042917844, 39.820019112659296",French,34.5,Spanish,28.3,12.2,Bachelor,68.2
Mecca,"21.37465561001222, 39.82352482113578",Spanish,54.9,Mandarin,19.7,15.0,Master,76.3
Mecca,"21.374922165746266, 39.8276412884353",English,32.1,Mandarin,28.2,16.9,High School,54.1
Mecca,"21.373232031080626, 39.82903676619386",French,36.2,Arabic,24.1,15.6,Master,58.1
Mecca,"21.372322292283375, 39.83388397908043",Mandarin,56.4,Spanish,19.8,14.5,Bachelor,75.6
Mecca,"21.374396588070525, 39.836751865917975",French,40.5,English,28.4,14.6,Bachelor,89.5
Mecca,"21.37384032708126, 39.839098389787665",Arabic,42.2,Spanish,32.5,14.6,Associate Degree,48.6
Mecca,"21.371643266748794, 39.84247624593679",Mandarin,43.1,Arabic,26.1,17.3,Master,55.8
Mecca,"21.372420193761663, 39.84594550494034",Mandarin,51.4,English,21.6,15.2,PhD,67.2
Mecca,"21.37349394222341, 39.84855349624606",Arabic,35.7,Mandarin,26.0,16.9,High School,46.4
Mecca,"21.372258379252248, 39.85410913258253",Spanish,45.2,French,36.1,17.0,Bachelor,53.9
Mecca,"21.37415900990011, 39.85492358206952",Mandarin,58.9,Arabic,28.8,13.6,Bachelor,69.0
Mecca,"21.372963730812, 39.860170444562016",English,31.5,Spanish,26.7,12.4,Bachelor,91.8
Mecca,"21.372996430269747, 39.862160670891384",Mandarin,35.3,Spanish,27.3,14.3,Associate Degree,50.3
Mecca,"21.373013907404427, 39.86828602058003",English,32.3,French,20.4,17.5,Associate Degree,56.6
Mecca,"21.373669650990152, 39.87078209194599",French,34.9,English,27.4,12.4,PhD,56.1
Mecca,"21.37476026146255, 39.87439571163781",Mandarin,61.7,French,15.7,16.0,PhD,46.1
Mecca,"21.372854857449045, 39.874690251001",Mandarin,44.8,French,20.9,14.4,PhD,76.9
Mecca,"21.372740368544022, 39.881013900500236",Arabic,43.0,Mandarin,25.9,17.2,High School,12.7
Mecca,"21.37474712513561, 39.885147054687216",French,55.0,Spanish,23.9,16.5,Master,44.6
Mecca,"21.373009418463855, 39.887656729342574",French,39.8,Mandarin,31.2,13.8,PhD,71.8
Mecca,"21.37351786257227, 39.890413010355765",Spanish,33.2,French,26.6,15.7,Associate Degree,42.5
Mecca,"21.37221548811063, 39.892211019871816",English,58.3,Mandarin,14.9,17.1,Master,77.2
Mecca,"21.37307667723752, 39.89478276594645",Arabic,50.9,English,21.2,13.2,Associate Degree,54.1
Mecca,"21.37267785150813, 39.900716567540115",English,41.4,French,29.9,15.7,High School,33.7
Mecca,"21.37628393334322, 39.79866017892481",French,47.4,English,34.5,14.4,High School,44.4
Mecca,"21.3765362272636, 39.80184384452245",French,44.8,Mandarin,22.4,14.2,PhD,85.0
Mecca,"21.377155694510567, 39.80477453247428",Spanish,42.2,Arabic,23.7,16.7,Associate Degree,65.1
Mecca,"21.37624274769203, 39.8102575679321",English,47.7,Mandarin,21.9,16.5,High School,32.0
Mecca,"21.374775074852028, 39.81390433192537",Mandarin,43.5,Arabic,31.4,12.5,Associate Degree,34.5
Mecca,"21.37520946461559, 39.81651346044287",English,38.4,Mandarin,29.1,14.0,High School,47.1
Mecca,"21.374867805200623, 39.819516415456754",French,34.4,English,26.7,14.6,High School,60.5
Mecca,"21.375513307803516, 39.822640716552854",Spanish,56.5,French,31.6,12.4,High School,23.6
Mecca,"21.377711585498243, 39.82618317152892",Arabic,45.8,English,35.6,12.3,Associate Degree,42.6
Mecca,"21.37767470596089, 39.83132769714062",English,56.6,Spanish,15.5,13.2,Bachelor,71.7
Mecca,"21.3756757527938, 39.83166095826437",English,48.7,Mandarin,19.6,12.3,Associate Degree,40.2
Mecca,"21.37474419981487, 39.83682434285836",Arabic,34.2,English,32.3,16.0,High School,45.0
Mecca,"21.378666297980704, 39.83939984137488",French,49.1,Arabic,35.3,12.9,PhD,67.2
Mecca,"21.377267243039668, 39.84445826553178",Arabic,47.5,Spanish,35.1,14.0,PhD,84.4
Mecca,"21.377273685287644, 39.8476835994829",Spanish,33.3,English,30.8,14.5,High School,33.7
Mecca,"21.37846511359753, 39.84879744272944",Mandarin,34.2,English,33.3,15.3,Bachelor,77.2
Mecca,"21.37474818673595, 39.85194286271647",French,49.6,Spanish,33.7,15.8,Bachelor,80.6
Mecca,"21.375171550566165, 39.857344502045144",Mandarin,54.7,French,17.3,17.9,Master,70.6
Mecca,"21.37692254499439, 39.858871858163624",English,41.8,Spanish,22.3,16.6,PhD,77.7
Mecca,"21.377464526551652, 39.864400925726756",Mandarin,42.3,French,23.9,15.3,Associate Degree,37.4
Mecca,"21.37533782324014, 39.86709565664223",English,59.8,Spanish,15.8,15.7,PhD,71.5
