city,geo_location,total_population,male_population,female_population,male_avg_age,female_avg_age,overall_avg_age,avg_household_size
Mecca,"21.35474457363621, 39.805049727798384",1276,579,697,42.0,28.2,34.5,2.7
Mecca,"21.35818155417796, 39.80799332878411",1435,717,718,38.6,31.5,35.0,3.0
Mecca,"21.35589672316828, 39.80823170066597",4161,2208,1953,39.7,29.7,35.0,4.3
Mecca,"21.358178705063484, 39.81512113111452",1712,895,817,32.7,44.5,38.3,4.3
Mecca,"21.355009280474942, 39.81661062851993",1253,640,613,27.3,41.9,34.4,2.6
Mecca,"21.354943516740544, 39.82104240866103",4126,2011,2115,37.6,25.6,31.5,2.8
Mecca,"21.357730004383896, 39.82184689919133",1440,748,692,32.6,44.8,38.4,3.6
Mecca,"21.356567796179064, 39.82686588104064",1818,853,965,34.8,38.6,36.8,3.0
Mecca,"21.35572689318243, 39.83148973216434",4039,1883,2156,41.3,41.2,41.2,2.9
Mecca,"21.35635921842747, 39.8321805261551",3384,1531,1853,44.2,26.9,34.7,2.6
Mecca,"21.356823851021787, 39.837586390943024",1575,849,726,32.2,33.2,32.6,3.6
Mecca,"21.355471270920226, 39.8392468651652",1294,626,668,38.6,44.2,41.5,4.0
Mecca,"21.358647264093314, 39.84393284556389",3163,1580,1583,41.6,36.4,39.0,3.4
Mecca,"21.356419067002328, 39.846736970030804",2442,1185,1257,43.0,42.1,42.5,4.1
Mecca,"21.35515068345014, 39.84889878934812",2797,1378,1419,32.5,26.4,29.4,2.7
Mecca,"21.356019008915258, 39.85368656820716",4204,2109,2095,27.0,35.0,31.0,2.6
Mecca,"21.355587125597054, 39.85554753620447",3214,1552,1662,29.5,43.8,36.9,4.3
Mecca,"21.354950639010706, 39.86052441182908",2029,992,1037,32.2,42.4,37.4,2.8
Mecca,"21.355582433801914, 39.864955013385355",2179,996,1183,36.5,42.1,39.5,4.4
Mecca,"21.358105208267684, 39.864950096066224",3048,1466,1582,37.4,35.9,36.6,4.3
Mecca,"21.355618685204146, 39.87067591111318",3387,1683,1704,43.3,30.3,36.8,2.6
Mecca,"21.35552361389615, 39.871862580728234",2384,1173,1211,29.0,42.8,36.0,2.6
Mecca,"21.35840872362899, 39.876950839039964",1836,926,910,39.7,43.5,41.6,3.8
Mecca,"21.356557350771915, 39.88113847769716",4597,2097,2500,34.9,41.1,38.3,3.6
Mecca,"21.357896654657736, 39.88209497299078",3498,1820,1678,40.3,25.7,33.3,4.5
Mecca,"21.355054389923584, 39.88639087139629",4890,2404,2486,39.8,43.6,41.7,4.3
Mecca,"21.356360981158748, 39.889868098672146",2961,1612,1349,30.4,25.8,28.3,2.6
Mecca,"21.35758297006451, 39.894026791522506",3079,1454,1625,32.0,34.6,33.3,4.1
Mecca,"21.35860332751213, 39.895060338151275",4589,2510,2079,25.4,26.1,25.7,4.0
Mecca,"21.356277151795076, 39.89935721042158",4323,2030,2293,37.2,32.6,34.7,3.9
Mecca,"21.36144669014541, 39.79899462533568",1074,542,532,26.0,40.3,33.1,3.9
Mecca,"21.358760835633763, 39.80312778752466",2760,1435,1325,36.0,27.3,31.8,2.7
Mecca,"21.359687526559338, 39.80578084724533",3521,1930,1591,32.4,28.9,30.8,3.4
Mecca,"21.35899922579153, 39.8116930623971",1237,586,651,26.8,25.2,26.0,3.3
Mecca,"21.35977252298021, 39.81477872975238",4082,2199,1883,40.9,36.4,38.8,4.5
Mecca,"21.3602013012498, 39.81486901998476",1061,570,491,30.0,26.1,28.2,2.6
Mecca,"21.36199712987365, 39.82134411034032",2796,1308,1488,25.9,32.0,29.1,3.8
Mecca,"21.361875985029137, 39.825038801265364",2000,1099,901,27.6,33.0,30.0,3.8
Mecca,"21.361394782937655, 39.825331911109075",3689,1688,2001,30.0,35.9,33.2,3.5
Mecca,"21.359942564501804, 39.82885498919679",4011,2131,1880,43.0,42.2,42.6,3.4
Mecca,"21.359604161170196, 39.83156787493322",2239,1218,1021,40.6,30.9,36.2,3.8
Mecca,"21.35951589247591, 39.83860790204179",3157,1702,1455,31.4,35.8,33.4,2.7
Mecca,"21.359060812232688, 39.84113628240779",2419,1306,1113,39.1,37.4,38.3,3.1
Mecca,"21.359820033469354, 39.84302536327729",1833,992,841,41.8,35.4,38.9,3.1
Mecca,"21.361829270563437, 39.848648357424636",3264,1537,1727,32.4,41.3,37.1,2.8
Mecca,"21.36022307329362, 39.85087363310118",1962,1019,943,38.0,34.1,36.1,2.7
Mecca,"21.358619187301095, 39.85252016463531",3043,1623,1420,30.4,36.8,33.4,3.1
Mecca,"21.361874837459876, 39.85698338782993",4953,2270,2683,30.6,37.2,34.2,3.5
Mecca,"21.3601687808055, 39.860991902241516",4533,2213,2320,33.9,29.5,31.6,3.3
Mecca,"21.35822866109163, 39.86367004371117",3703,1825,1878,26.0,31.1,28.6,3.6
Mecca,"21.36001140153168, 39.86807754623486",2424,1317,1107,43.2,40.1,41.8,3.2
Mecca,"21.35862973091176, 39.871843115613096",4392,2374,2018,41.2,36.8,39.2,4.0
Mecca,"21.35832044586096, 39.87207663317726",2396,1252,1144,37.4,42.3,39.8,4.1
Mecca,"21.3603801404258, 39.87736751688108",4803,2514,2289,26.1,27.2,26.6,3.3
Mecca,"21.358940815580002, 39.878479546455786",3954,2147,1807,30.7,44.8,37.2,3.6
Mecca,"21.361561149256517, 39.88231819472449",2736,1387,1349,36.4,35.4,35.9,2.8
Mecca,"21.360378076614133, 39.88714419270799",2561,1272,1289,44.9,29.8,37.3,4.3
Mecca,"21.35967689966134, 39.890334689157164",2149,1138,1011,44.0,26.7,35.9,3.0
Mecca,"21.360091130862127, 39.89507215836428",3223,1545,1678,36.4,25.8,30.9,3.0
Mecca,"21.358817036797692, 39.89753143386982",2100,1083,1017,40.6,41.2,40.9,3.7
Mecca,"21.358954743810465, 39.89958314338716",1509,725,784,38.2,41.7,40.0,4.2
Mecca,"21.36402009422517, 39.799199988319195",2817,1397,1420,33.8,34.3,34.1,4.4
Mecca,"21.36259804211842, 39.804340791302984",2966,1523,1443,36.1,33.2,34.7,3.7
Mecca,"21.361623505791307, 39.80649980875714",1325,632,693,37.2,31.3,34.1,2.6
Mecca,"21.36532715109675, 39.81198438579142",1736,825,911,40.7,30.2,35.2,3.5
Mecca,"21.361626376217732, 39.8121859505824",1931,990,941,27.9,37.4,32.5,2.6
Mecca,"21.362394134992336, 39.81839970417864",1468,756,712,28.7,35.1,31.8,3.4
Mecca,"21.364856790028078, 39.82151708096994",2299,1044,1255,39.3,26.2,32.2,3.9
Mecca,"21.36281144168829, 39.82196432066276",2061,1128,933,25.3,41.9,32.8,4.2
Mecca,"21.364668313151892, 39.82748082636701",3213,1676,1537,37.0,32.0,34.6,2.7
Mecca,"21.363780044396236, 39.83194893225453",2817,1299,1518,26.5,29.1,27.9,3.6
Mecca,"21.363949238604174, 39.831364625761935",4396,2339,2057,33.3,37.8,35.4,4.3
Mecca,"21.364601749873795, 39.83586418167547",1586,717,869,37.1,32.2,34.4,4.5
Mecca,"21.363986888193196, 39.841755720015705",4675,2408,2267,34.4,44.5,39.3,3.7
Mecca,"21.361870497790907, 39.84179504801501",1656,806,850,30.8,28.0,29.4,3.7
Mecca,"21.361761477244173, 39.8468795612302",1435,733,702,41.2,35.2,38.3,4.1
Mecca,"21.362422726182594, 39.850419319308116",3081,1627,1454,39.3,43.8,41.4,3.3
Mecca,"21.364203782081887, 39.85214772258264",3386,1534,1852,39.5,32.6,35.8,4.5
Mecca,"21.363870285168872, 39.85572260227318",1321,720,601,44.2,44.8,44.5,3.6
Mecca,"21.36328746074193, 39.861621345964316",3352,1719,1633,39.7,35.8,37.8,2.7
Mecca,"21.364717748186514, 39.86170252720418",4598,2311,2287,26.0,34.4,30.2,3.5
Mecca,"21.36302763642359, 39.865773387562555",2806,1351,1455,28.9,36.5,32.8,4.3
Mecca,"21.361347516089683, 39.87108447689208",2346,1112,1234,40.4,32.2,36.1,3.4
Mecca,"21.36388178684254, 39.87238115438307",4064,2223,1841,38.9,33.9,36.6,4.4
Mecca,"21.364298256966723, 39.87687338835117",2679,1302,1377,32.0,35.1,33.6,4.3
Mecca,"21.363044081009257, 39.878038678798426",3676,1832,1844,29.6,40.7,35.2,3.0
Mecca,"21.361634308773628, 39.884865758906535",4390,2338,2052,27.5,35.8,31.4,4.1
Mecca,"21.36494904761957, 39.88684902782349",2669,1380,1289,38.3,37.1,37.7,4.1
Mecca,"21.36467171341288, 39.89033003826596",2399,1154,1245,26.6,33.4,30.2,4.5
Mecca,"21.361925708475603, 39.89184311541046",3359,1677,1682,42.6,29.0,35.8,2.9
Mecca,"21.362566366733052, 39.89826259262164",2859,1290,1569,27.4,30.3,29.0,3.6
Mecca,"21.364517822552884, 39.901442810328",4809,2390,2419,27.0,42.4,34.8,4.2
Mecca,"21.36826236521277, 39.79884030615336",1098,569,529,44.8,27.6,36.5,4.2
Mecca,"21.365664785623558, 39.80174450782001",4762,2327,2435,33.4,27.5,30.4,3.9
Mecca,"21.367787131634152, 39.808203205472466",1988,1036,952,27.4,42.9,34.8,4.3
Mecca,"21.366292176225997, 39.8104826460406",3422,1748,1674,27.2,39.4,33.2,2.6
Mecca,"21.365284880019995, 39.815052857396104",4771,2316,2455,34.0,33.2,33.6,3.4
Mecca,"21.368125089451546, 39.818571490798384",4419,2181,2238,40.2,39.0,39.6,4.0
Mecca,"21.367909753546428, 39.82152566481865",3964,2087,1877,43.3,43.7,43.5,2.7
Mecca,"21.36476581211426, 39.82427959122035",4668,2104,2564,36.9,38.5,37.7,3.4
Mecca,"21.365995408538453, 39.828389930210854",2312,1141,1171,35.2,36.8,36.0,4.4
Mecca,"21.367875607222416, 39.8314562561135",1396,660,736,34.9,26.0,30.2,3.5
Mecca,"21.367909663932966, 39.832400556171706",3151,1600,1551,41.9,33.5,37.8,3.1
Mecca,"21.36781616470321, 39.83509904917228",2304,1211,1093,44.1,25.8,35.4,4.4
Mecca,"21.368155333798292, 39.84143437300535",4614,2532,2082,29.2,35.4,32.0,3.7
Mecca,"21.36555640153685, 39.844599679755724",3520,1694,1826,31.9,28.3,30.1,3.1
Mecca,"21.366507879605383, 39.84588743013602",2993,1478,1515,42.7,30.8,36.7,4.3
Mecca,"21.36784804866328, 39.84891038194962",3482,1829,1653,43.5,38.3,41.0,2.8
Mecca,"21.364761324405475, 39.852105852486645",1847,933,914,35.2,28.4,31.8,3.7
Mecca,"21.365979714471457, 39.858124078434784",1162,634,528,35.8,41.0,38.1,2.5
Mecca,"21.36853422308286, 39.85911649997089",4409,2346,2063,32.4,30.6,31.6,4.4
Mecca,"21.367232593621097, 39.86293204687077",2746,1436,1310,35.4,41.6,38.4,3.1
Mecca,"21.36859126541546, 39.86681152959658",1448,755,693,43.4,27.4,35.7,4.3
Mecca,"21.368423615227965, 39.868461367007406",3020,1438,1582,42.3,44.9,43.6,4.0
Mecca,"21.368548269110757, 39.87204760459802",1477,807,670,41.1,39.9,40.5,2.9
Mecca,"21.36851680392971, 39.87572853211676",1304,629,675,35.1,30.5,32.8,3.8
Mecca,"21.365100276855525, 39.879738255034255",3100,1603,1497,26.5,38.8,32.4,4.3
Mecca,"21.367580846909277, 39.882588042590115",1157,570,587,43.6,40.9,42.2,3.1
Mecca,"21.36709150207989, 39.88671235890534",4446,2248,2198,41.8,37.5,39.7,4.4
Mecca,"21.366207448400047, 39.89030635217399",3569,1608,1961,27.7,32.5,30.4,4.4
Mecca,"21.365685556691222, 39.89416847446867",3758,1764,1994,34.4,34.7,34.6,2.9
Mecca,"21.36467343177954, 39.898368967328665",3034,1451,1583,29.0,42.5,36.0,4.4
Mecca,"21.36682047465504, 39.90087771999658",4510,2355,2155,29.3,33.7,31.4,3.5
Mecca,"21.37096780031136, 39.80068251401773",3503,1649,1854,28.6,33.4,31.1,3.0
Mecca,"21.369456885887125, 39.801613228577835",2557,1312,1245,29.7,32.0,30.8,3.6
Mecca,"21.370656950739647, 39.80598746681083",4908,2296,2612,31.0,29.6,30.3,3.1
Mecca,"21.369255662580233, 39.81139206111802",2986,1490,1496,37.6,37.0,37.3,3.6
Mecca,"21.370879017052058, 39.812534622406176",2210,1015,1195,27.2,42.6,35.6,4.0
Mecca,"21.369237138648835, 39.81630023830114",2176,1070,1106,33.9,29.9,31.9,3.3
Mecca,"21.36960960154823, 39.8191826208101",1721,854,867,31.4,27.3,29.3,3.9
Mecca,"21.36850915119624, 39.82301511866842",3886,1798,2088,42.6,41.8,42.2,4.2
Mecca,"21.37176145468292, 39.82737593844775",3461,1700,1761,29.7,30.8,30.3,3.5
Mecca,"21.37161122218293, 39.8304620596638",4644,2484,2160,33.2,36.2,34.6,3.1
Mecca,"21.369203799498262, 39.83352508218587",3764,1813,1951,32.8,33.8,33.4,3.3
Mecca,"21.36800162375879, 39.835814321534144",4737,2157,2580,34.7,29.4,31.8,3.8
Mecca,"21.36971955259996, 39.84031993912478",1186,570,616,33.2,36.5,34.9,2.8
Mecca,"21.370618822494812, 39.84319328609432",1844,973,871,27.2,44.4,35.3,3.7
Mecca,"21.369768639197222, 39.84552147227062",1529,780,749,25.4,39.4,32.3,4.1
Mecca,"21.369892744743638, 39.85160472330331",1369,722,647,31.7,32.1,31.8,4.0
Mecca,"21.37118409904051, 39.852012098918124",1259,649,610,35.4,32.2,33.9,2.9
Mecca,"21.3683391821469, 39.85672847470632",1643,877,766,32.9,39.4,35.9,3.1
Mecca,"21.370531763423063, 39.85934075302164",1661,898,763,31.6,29.3,30.6,4.0
Mecca,"21.371273693858146, 39.864337885883494",4850,2189,2661,41.9,40.1,40.9,3.6
Mecca,"21.37069118268223, 39.865565229330656",3054,1495,1559,34.7,28.1,31.4,3.1
Mecca,"21.368796519730907, 39.8680977015509",1942,996,946,38.8,25.7,32.4,4.0
Mecca,"21.368979370176316, 39.87323387871021",4330,2287,2043,38.1,27.6,33.2,4.0
Mecca,"21.3713989507785, 39.87495797958341",2105,1128,977,26.5,35.1,30.5,3.9
Mecca,"21.369657764043993, 39.880519061522946",4000,1966,2034,25.3,41.6,33.6,3.7
Mecca,"21.36877774094696, 39.8841187503353",1621,744,877,36.8,32.8,34.6,4.2
Mecca,"21.369977508676044, 39.88564260442498",4519,2174,2345,31.5,35.2,33.4,2.5
Mecca,"21.37062423204445, 39.888022179272554",2122,1052,1070,27.0,44.4,35.8,3.7
Mecca,"21.371003857906476, 39.894413518087624",2542,1217,1325,26.9,44.3,36.0,3.6
Mecca,"21.368426349186254, 39.89636725144244",2979,1425,1554,39.1,35.1,37.0,3.3
Mecca,"21.368703546726827, 39.90183186416912",3035,1586,1449,44.0,40.3,42.2,3.9
Mecca,"21.37340516433511, 39.79820087354056",2852,1347,1505,44.5,32.9,38.4,3.0
Mecca,"21.372330126451974, 39.80472667872274",2514,1251,1263,27.2,31.2,29.2,2.8
Mecca,"21.373159180635216, 39.807872333073554",3580,1960,1620,26.9,28.4,27.6,4.2
Mecca,"21.37400364426368, 39.81195156981226",3006,1531,1475,26.7,33.1,29.8,4.2
Mecca,"21.373715142607214, 39.81513349176711",3143,1641,1502,36.3,29.6,33.1,4.0
Mecca,"21.374899037036577, 39.81711727595771",2032,998,1034,39.8,41.7,40.8,2.6
Mecca,"21.37421042917844, 39.820019112659296",3822,1935,1887,33.1,25.1,29.2,3.9
Mecca,"21.37465561001222, 39.82352482113578",4092,2071,2021,34.8,35.0,34.9,4.4
Mecca,"21.374922165746266, 39.8276412884353",1965,947,1018,39.2,35.3,37.2,4.2
Mecca,"21.373232031080626, 39.82903676619386",4002,1833,2169,27.1,39.0,33.5,3.3
Mecca,"21.372322292283375, 39.83388397908043",4100,1850,2250,35.4,27.4,31.0,2.9
Mecca,"21.374396588070525, 39.836751865917975",4562,2496,2066,25.8,33.5,29.3,2.8
Mecca,"21.37384032708126, 39.839098389787665",4289,2155,2134,27.8,42.5,35.1,3.3
Mecca,"21.371643266748794, 39.84247624593679",1037,497,540,33.7,30.9,32.2,4.3
Mecca,"21.372420193761663, 39.84594550494034",3771,1799,1972,31.4,42.8,37.4,3.6
Mecca,"21.37349394222341, 39.84855349624606",1679,779,900,35.5,29.1,32.0,3.7
Mecca,"21.372258379252248, 39.85410913258253",3926,1912,2014,37.1,34.4,35.7,2.9
Mecca,"21.37415900990011, 39.85492358206952",2352,1276,1076,39.4,42.0,40.6,2.8
Mecca,"21.372963730812, 39.860170444562016",3147,1641,1506,34.5,31.4,33.0,2.9
Mecca,"21.372996430269747, 39.862160670891384",2927,1336,1591,44.5,31.2,37.3,2.9
Mecca,"21.373013907404427, 39.86828602058003",3842,1764,2078,34.2,26.9,30.2,3.7
Mecca,"21.373669650990152, 39.87078209194599",3434,1599,1835,32.0,36.2,34.2,3.0
Mecca,"21.37476026146255, 39.87439571163781",3575,1613,1962,28.9,30.7,29.9,4.3
Mecca,"21.372854857449045, 39.874690251001",2745,1395,1350,31.1,37.5,34.2,3.3
Mecca,"21.372740368544022, 39.881013900500236",2043,1033,1010,37.8,29.1,33.5,3.7
Mecca,"21.37474712513561, 39.885147054687216",1421,743,678,30.6,30.3,30.4,2.7
Mecca,"21.373009418463855, 39.887656729342574",4264,2141,2123,37.9,32.7,35.3,3.7
Mecca,"21.37351786257227, 39.890413010355765",4495,2288,2207,30.5,41.1,35.7,4.2
Mecca,"21.37221548811063, 39.892211019871816",3738,2021,1717,29.2,25.1,27.3,3.0
Mecca,"21.37307667723752, 39.89478276594645",1886,865,1021,41.1,27.9,34.0,2.8
Mecca,"21.37267785150813, 39.900716567540115",4582,2062,2520,26.6,44.4,36.4,2.8
Mecca,"21.37628393334322, 39.79866017892481",4306,2127,2179,38.3,31.5,34.9,3.5
Mecca,"21.3765362272636, 39.80184384452245",1480,701,779,32.9,40.5,36.9,3.9
Mecca,"21.377155694510567, 39.80477453247428",2454,1180,1274,35.4,35.6,35.5,4.3
Mecca,"21.37624274769203, 39.8102575679321",4449,2097,2352,28.3,37.7,33.3,3.1
Mecca,"21.374775074852028, 39.81390433192537",1585,846,739,36.2,34.8,35.6,4.1
Mecca,"21.37520946461559, 39.81651346044287",3807,1758,2049,43.0,38.0,40.3,2.9
Mecca,"21.374867805200623, 39.819516415456754",4547,2212,2335,34.3,38.4,36.4,4.0
Mecca,"21.375513307803516, 39.822640716552854",1875,959,916,42.5,43.4,43.0,2.9
Mecca,"21.377711585498243, 39.82618317152892",2532,1184,1348,40.0,25.2,32.1,3.4
Mecca,"21.37767470596089, 39.83132769714062",3154,1480,1674,36.7,31.6,34.0,4.3
Mecca,"21.3756757527938, 39.83166095826437",4751,2258,2493,43.4,37.1,40.1,2.6
Mecca,"21.37474419981487, 39.83682434285836",2126,1093,1033,33.0,44.9,38.8,3.9
Mecca,"21.378666297980704, 39.83939984137488",2123,1088,1035,44.4,41.5,43.0,4.2
Mecca,"21.377267243039668, 39.84445826553178",4799,2385,2414,37.2,34.1,35.6,2.8
Mecca,"21.377273685287644, 39.8476835994829",4071,2188,1883,40.0,41.1,40.5,2.6
Mecca,"21.37846511359753, 39.84879744272944",1118,571,547,39.3,39.1,39.2,2.9
Mecca,"21.37474818673595, 39.85194286271647",4485,2077,2408,33.4,41.9,38.0,2.6
Mecca,"21.375171550566165, 39.857344502045144",3611,1881,1730,31.3,42.2,36.5,3.1
Mecca,"21.37692254499439, 39.858871858163624",4492,2108,2384,37.3,25.3,30.9,4.2
Mecca,"21.377464526551652, 39.864400925726756",4474,2415,2059,43.0,28.4,36.3,4.5
Mecca,"21.37533782324014, 39.86709565664223",3957,2154,1803,35.3,43.8,39.2,3.3
Mecca,"21.37765836927449, 39.86845813148551",4431,2289,2142,26.2,28.9,27.5,4.0
Mecca,"21.377943871363914, 39.87519221642547",1604,838,766,26.7,33.9,30.1,3.1
Mecca,"21.3750990616653, 39.874769380368654",1813,940,873,33.2,37.7,35.4,4.2
Mecca,"21.37591449564425, 39.8807093891474",4854,2185,2669,30.5,32.0,31.3,3.2
Mecca,"21.378499358019493, 39.882919951099396",3327,1775,1552,26.7,43.6,34.6,2.7
Mecca,"21.377526725486867, 39.88497065257803",4760,2185,2575,39.6,28.7,33.7,3.7
Mecca,"21.3774291243304, 39.890508969582406",4955,2239,2716,28.4,25.2,26.6,3.8
Mecca,"21.37507427188845, 39.89442325687313",2885,1321,1564,39.5,29.9,34.3,4.2
Mecca,"21.378067839623025, 39.897068313125935",3630,1975,1655,42.3,39.9,41.2,4.0
Mecca,"21.37515088692694, 39.901935377406055",2271,1034,1237,39.1,28.6,33.4,2.8
Mecca,"21.381130541385446, 39.79938881506123",2292,1126,1166,41.7,30.5,36.0,2.9
Mecca,"21.37971351205294, 39.8028156168382",2208,1050,1158,33.8,26.8,30.2,3.2
Mecca,"21.38002384315871, 39.80603159136611",2489,1206,1283,37.8,34.0,35.9,3.8
Mecca,"21.381398302508, 39.811289323672355",4406,2057,2349,44.0,36.7,40.1,2.8
Mecca,"21.37842215548258, 39.815176483602194",3329,1568,1761,39.0,31.9,35.3,4.1
Mecca,"21.38054234042441, 39.81798149591067",4261,2040,2221,31.8,44.4,38.4,3.6
Mecca,"21.380829234574826, 39.81974194858003",4043,2140,1903,26.8,40.5,33.2,3.0
Mecca,"21.380935181216056, 39.82519522825828",2915,1387,1528,43.4,35.3,39.2,3.8
Mecca,"21.379080329585552, 39.82789946354189",2946,1366,1580,36.7,32.4,34.4,3.3
Mecca,"21.380152691625796, 39.82993399001553",3410,1841,1569,31.4,27.1,29.4,3.2
Mecca,"21.37974229797202, 39.83425743819055",4690,2114,2576,33.4,31.7,32.5,3.8
Mecca,"21.3790735821522, 39.83807351930675",1410,660,750,32.2,28.3,30.1,3.6
Mecca,"21.381322924075565, 39.83834665159222",4080,1844,2236,41.2,34.1,37.3,3.7
